N_01,N_02,N_03,N_04,N_05,N_06_A,N_06_B,N_06_C,N_07,N_08,N_09,N_09_TEXTO,N_10_A,N_10_B,N_10_C,N_10_D,N_10_E,N_10_F,N_10_G,N_10_H,N_10_I,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,19132,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,19544,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,19770,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,20171,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,20547,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,21001,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,21805,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,21830,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,21992,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,22093,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,22221,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,22758,1,1,1
3,1,2,1,3,1,,,3,1,40000,CUARENTA MIL  PESOS,,,,1,,,,,,22790,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,22932,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,23229,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,23316,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,23351,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,23432,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,23805,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,23848,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,24211,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,24337,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,24342,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,25173,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,25808,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,25876,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,25942,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,26239,1,1,1
2,1,2,1,1,1,,,1,2,20000,VEINTE MIL PESOS,,,1,,1,1,,,,26250,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,26840,1,1,1
