M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9544,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9968,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,1,1,1
1,1,3,2,,,6,1,7000,DIEZ MIL PESOS,,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10029,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10235,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10315,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10344,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10585,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10627,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11013,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11129,1,1,1
3,1,3,1,2,10000,5,1,2000,DOS MIL,,,1,,,,,,,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,12107,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12559,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12801,1,1,1
3,1,4,1,4,98,4,1,1000,mil pesos,,,1,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13052,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13191,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,1,1,1
3,1,5,1,30,120000,30,1,4000,CUATRO MIL PESOS,,,1,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13344,1,1,1
