M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_08_VALOR,M_08_TEXTO,M_09_A,M_09_B,M_09_C,M_09_D,M_09_E,M_09_F,M_09_G,M_09_H,M_09_I,M_10_A,M_10_B,M_10_C,M_10_D,M_10_E,M_10_F,M_10_G,M_10_H,M_10_I,M_10_J,M_10_K,M_10_L,M_10_M,M_10_N,M_10_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49051,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49176,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49233,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49259,1,1,1
3,1,4,1,2,10000,3,1,5000,CINCO MIL PESOS,,,1,1,,1,,,,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,49480,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49583,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49694,1,1,1
3,1,5,1,30,30000,60,1,1000,MIL PESOS,,,1,,,,,,,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,49701,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49746,1,1,1
3,1,4,1,3,30000,4,1,5000,CINCO MIL,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49780,1,1,1
3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49973,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50345,2,1,2
3,1,3,1,2,5000,2,1,2000,DOS MIL PESOS,,,1,,,,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,50721,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51030,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51531,7,1,7
3,1,5,1,30,25000,25,1,1000,MIL PESOS,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51788,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52211,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52529,1,1,1
2,1,3,1,1,5000,1,1,5000,CINCO MIL PESOS,,,,,,,1,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,52599,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52959,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53151,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53257,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53463,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53488,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53497,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53522,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53567,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53576,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53819,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53840,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54111,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54116,1,1,1
2,1,3,2,,,2,1,2000,DOS MIL PESOS,,,1,1,,,,,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,54180,2,1,2
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54256,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54903,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55093,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55127,4,1,4
3,1,5,1,30,30000,30,1,1000,MIL PESOS,,,1,,,,,,,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,55214,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55391,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55798,1,1,1
3,1,4,1,30,60000,30,1,2000,DOS MIL PESOS,,,,,,1,,,,2,1,2,1,2,1,1,1,2,1,2,2,2,2,1,55899,2,1,2
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55961,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56101,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56270,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56382,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56961,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57054,2,1,2
3,1,3,1,20,200000,100,1,2000,DOS MIL,,,1,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,57776,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57938,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58009,2,1,2
3,1,4,1,4,30000,30,1,1000,MIL PESOS,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58487,1,1,1
3,1,1,2,,,4,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,58587,2,1,2
3,1,5,1,30,35000,30,1,4000,CUATRO MIL PESOS,,,1,1,,,,,,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,58605,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58919,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59250,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59627,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59629,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59649,6,1,6
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59652,1,1,1
1,1,5,1,30,90000,30,1,3000,TRES MIL PESOS,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59783,9,1,9
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59784,2,1,2
