SEXO,EDAD,PARENTESCO,PADRE,MADRE,CONSENTIMIENTO,RESULTADO,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C
2,13,3,1,1,1,1,23366,3,1,3,610.8999761279541
2,60,1,2,3,1,1,23368,1,1,1,452.1941467207197
2,61,1,3,3,1,1,23369,1,1,1,296.024611885809
2,56,1,3,3,1,1,23370,1,1,1,5.405246681159214
1,32,3,3,1,1,1,23371,2,1,2,153.5539109206495
2,25,2,2,2,1,1,23372,2,1,2,314.7524134620866
2,55,1,3,2,1,1,23373,1,1,1,486.1777694409829
2,60,2,3,3,1,1,23374,2,1,2,61.90471934184874
2,39,2,3,2,1,1,23377,2,1,2,153.565796203297
2,15,5,2,1,1,1,23379,3,1,3,32.12527873914052
2,57,1,3,2,1,1,23380,1,1,1,221.4183240223464
1,54,3,3,1,1,1,23381,2,1,2,115.8778333922633
1,25,1,2,2,1,1,23383,1,1,1,274.3965597045528
2,52,6,3,3,1,1,23384,5,1,5,282.7260831770143
1,40,3,2,1,1,1,23385,2,1,2,714.4116253946463
1,20,1,2,2,1,1,23386,1,1,1,137.8663055521359
2,52,1,3,2,1,1,23387,1,1,1,489.3490838958534
1,61,1,3,3,1,1,23388,1,1,1,690.10439010518
2,33,4,2,2,1,1,23389,3,1,3,31.73863315257615
2,47,3,3,1,1,1,23390,2,1,2,186.2686777583723
2,60,1,3,2,1,1,23391,1,1,1,169.9631317376205
1,37,1,2,2,1,1,23392,1,1,1,6.411612534786889
2,53,1,3,3,1,1,23393,1,1,1,109.5283636363636
2,62,2,3,3,1,1,23394,2,1,2,407.4386464539891
2,63,2,3,3,1,1,23395,2,1,2,810.5027110829722
1,43,1,3,2,1,1,23396,1,1,1,131.0043935990719
1,27,3,1,1,1,1,23397,4,1,4,657.5097769453689
1,63,1,3,3,1,1,23398,1,1,1,223.1683853574849
1,16,3,2,1,1,1,23399,2,1,2,709.2985723153321
1,47,4,2,2,1,1,23401,8,1,8,905.2545841861241
2,13,3,1,1,1,1,23403,4,1,4,1047.323542731448
1,34,1,2,2,1,1,23404,1,1,1,19.17071201184356
2,43,2,3,3,1,1,23405,2,1,2,637.3618485742379
2,25,3,1,1,1,1,23407,5,1,5,1007.693013871583
2,17,3,1,1,1,1,23408,3,1,3,1088.826533257881
1,27,8,2,2,1,1,23409,4,1,4,634.1405920069832
1,33,1,2,2,1,1,23410,1,1,1,913.1780859951498
1,15,3,1,1,1,1,23411,3,1,3,504.0376601916554
2,58,1,2,2,1,1,23412,1,1,1,57.48295367457384
2,40,2,2,2,1,1,23413,2,1,2,1174.211238084979
2,32,2,2,2,1,1,23414,2,1,2,278.543978188933
2,55,1,3,2,1,1,23415,1,1,1,434.6269147695355
1,16,5,2,1,1,1,23416,4,1,4,2182.274495138369
2,25,1,2,2,1,1,23417,1,1,1,151.0491166490486
1,57,1,3,3,1,1,23418,1,1,1,13.02024529842028
1,28,4,2,2,1,1,23420,3,1,3,548.7931194091057
1,45,1,2,2,1,1,23421,1,1,1,559.4157303370787
2,51,1,3,2,1,1,23422,1,1,1,486.1777694409829
2,36,1,2,2,1,1,23423,1,1,1,6.127141568981062
1,33,5,2,1,1,1,23424,3,1,3,750.2243826388057
1,16,3,2,1,1,1,23425,3,1,3,720.0538002737935
1,29,1,2,2,1,1,23426,1,1,1,684.6020622238093
2,56,1,3,3,1,1,23428,1,1,1,19.81923783091712
1,59,1,3,2,1,1,23429,1,1,1,503.7095126788436
1,38,2,3,2,1,1,23430,2,1,2,518.3959618620303
2,32,2,3,2,1,1,23431,2,1,2,119.4732221246708
2,28,2,3,2,1,1,23432,2,1,2,674.7877651150042
2,22,5,2,2,1,1,23433,5,1,5,758.4443714277439
1,41,7,2,2,1,1,23434,4,1,4,357.2058126973232
2,30,3,2,1,1,1,23435,2,1,2,153.0884584663072
2,27,2,2,2,1,1,23436,2,1,2,14.85576004663936
2,29,2,2,2,1,1,23437,2,1,2,674.7877651150042
2,18,4,2,2,1,1,23438,5,1,5,230.0622023841136
2,14,8,2,1,1,1,23439,5,1,5,1814.710888763135
2,18,7,2,2,1,1,23440,5,1,5,10.19417959098404
2,25,3,1,1,1,1,23441,3,1,3,534.7768940411773
2,50,1,3,3,1,1,23442,1,1,1,1748.890939074709
2,33,5,2,3,1,1,23443,4,1,4,284.3198969735994
1,13,5,2,2,1,1,23444,2,1,2,1244.2995951417
2,47,3,1,3,1,1,23445,4,1,4,963.7380921849273
1,53,1,2,2,1,1,23446,1,1,1,231.7556667845265
1,28,3,2,1,1,1,23447,2,1,2,415.3103709311127
2,16,3,1,1,1,1,23448,3,1,3,202.1131261487659
1,18,3,1,1,1,1,23449,3,1,3,13.97863922004707
1,45,1,2,2,1,1,23450,1,1,1,414.9405045341019
2,35,1,2,2,1,1,23451,1,1,1,252.6558827809093
1,13,5,1,1,1,1,23452,5,1,5,534.2677892008113
2,33,1,2,2,1,1,23453,1,1,1,165.3355351436118
1,18,3,1,1,1,1,23454,4,1,4,315.4112451017546
1,28,1,2,2,1,1,23455,1,1,1,582.1427891480247
2,17,3,2,1,1,1,23457,2,1,2,809.1967918523297
1,46,2,2,3,1,1,23458,2,1,2,11.71822076857825
1,39,2,3,2,1,1,23459,2,1,2,1155.624533406681
2,56,8,3,3,1,1,23460,3,1,3,342.8303361484233
1,17,3,2,1,1,1,23461,3,1,3,565.2391304347826
2,58,1,3,2,1,1,23462,1,1,1,6.973769112077432
1,50,1,2,2,1,1,23463,1,1,1,11.71822076857825
2,64,2,3,3,1,1,23464,2,1,2,121.4150157582047
2,64,1,3,3,1,1,23465,1,1,1,183.0372187943605
1,24,1,2,2,1,1,23466,1,1,1,117.4623386601975
1,50,1,2,3,1,1,23467,1,1,1,17.57733115286738
2,36,2,3,2,1,1,23468,2,1,2,177.8839065549016
1,26,3,1,1,1,1,23469,3,1,3,284.7674714104194
1,62,1,3,3,1,1,23470,1,1,1,419.7579272323697
1,60,1,2,2,1,1,23471,1,1,1,727.5057662124967
2,64,1,3,3,1,1,23472,1,1,1,729.2666541614743
2,41,2,3,2,1,1,23473,2,1,2,251.7361347204552
2,65,2,3,3,1,1,23474,2,1,2,829.0226023213195
1,29,1,2,2,1,1,23475,1,1,1,607.6817499374326
1,25,8,2,2,1,1,23476,7,1,7,1219.533395659594
1,39,4,2,2,1,1,23477,4,1,4,2096.230013757238
2,37,1,2,2,1,1,23478,1,1,1,266.3924007535693
2,60,1,3,3,1,1,23479,1,1,1,106.2747336953615
2,40,2,2,2,1,1,23480,2,1,2,249.6096985285004
1,37,4,2,2,1,1,23481,3,1,3,2446.781112905349
2,20,1,2,2,1,1,23482,1,1,1,80.58049826638441
2,22,3,2,1,1,1,23484,2,1,2,234.2802301237279
2,44,1,3,2,1,1,23485,1,1,1,33.0188688626476
1,37,1,2,2,1,1,23486,1,1,1,119.068604232441
1,21,3,1,1,1,1,23487,4,1,4,433.122160004757
2,23,2,2,2,1,1,23488,2,1,2,158.1404494382023
2,22,3,1,1,1,1,23489,3,1,3,22.72713472485768
1,54,1,3,2,1,1,23490,1,1,1,512.7977528089888
2,59,1,3,3,1,1,23491,1,1,1,434.6269147695355
2,32,1,2,2,1,1,23492,1,1,1,312.7518866709594
2,26,3,1,2,1,1,23493,2,1,2,285.4286268035207
2,48,1,3,2,1,1,23494,1,1,1,240.1916932907348
2,30,2,2,2,1,1,23495,2,1,2,284.3198969735994
2,30,3,1,1,1,1,23497,8,1,8,1610.341463414634
1,45,1,3,3,1,1,23498,1,1,1,208.1441464655756
2,36,2,2,2,1,1,23499,2,1,2,450.0338505897011
2,57,3,3,1,1,1,23500,2,1,2,160.9729313961242
1,64,1,3,2,1,1,23501,1,1,1,599.7734392326739
2,26,3,2,1,1,1,23502,3,1,3,31.73863315257615
2,44,2,2,2,1,1,23503,2,1,2,166.4064656856669
2,24,2,2,2,1,1,23504,2,1,2,242.3656514112582
2,27,2,2,2,1,1,23505,2,1,2,674.7877651150042
1,50,1,2,2,1,1,23506,1,1,1,231.7556667845265
