H_01,H_02_A,H_02_B,H_02_C,H_02_D,H_02_E,H_02_F,H_02_G,H_02_H,H_02_I,H_03,H_04,H_05,H_06_A,H_06_B,H_06_C,H_06_D,H_06_E,H_06_F,H_06_G,H_06_H,H_06_I,H_06_J,H_06_K,H_07,H_07_A,H_07_B,H_07_C,H_07_D,H_07_E,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,15037,1,1,1
1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,2,,,,,,15081,2,1,2
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,15101,1,1,1
2,,,1,,,,,,,1,1,30,1,,,,,1,,,,,,1,1,,,,,15110,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,15171,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,15180,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,15228,5,1,5
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,15307,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,15318,1,1,1
2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,15341,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,15436,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,15439,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,15448,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,15510,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,15515,1,1,1
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,15516,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,15519,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,15640,4,1,4
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,15677,2,1,2
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,15890,2,1,2
3,,,,,1,,,,,1,1,3,,,1,,,,,,,,,2,,,,,,16069,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,16125,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16127,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,16160,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16202,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,16250,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,16273,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,16288,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,16319,3,1,3
9,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,16532,1,1,1
3,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,16536,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,16537,8,1,8
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,16619,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,16629,3,1,3
3,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,16633,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16728,2,1,2
3,,,1,,,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,16758,2,1,2
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16776,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16822,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16850,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,16899,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,16970,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17009,1,1,1
2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17088,3,1,3
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,17135,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17141,2,1,2
3,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,17159,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17168,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,17178,1,1,1
3,,,,1,,,,,,1,1,1,,,,,,,,,,1,,2,,,,,,17197,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17202,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17222,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,17241,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17255,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17264,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17328,4,1,4
3,,,,,1,,,,,1,1,4,,,,,1,,,,,,,2,,,,,,17356,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17378,3,1,3
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,17385,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,17397,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17450,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17621,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17649,4,1,4
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,17664,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17816,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,17839,2,1,2
3,,,,,1,,,,,1,1,20,,,,,,,,,,,1,2,,,,,,17880,1,1,1
1,,,,1,,,,,,1,1,1,,,1,,,,,,,,,2,,,,,,17889,2,1,2
3,,1,,,,,,,,1,1,4,,,1,,,1,,,,,,2,,,,,,17933,3,1,3
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,17991,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,17995,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,18028,1,1,1
1,,,,,1,,,,,1,1,10,,,1,,,,,,,,,2,,,,,,18038,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,18153,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,18171,3,1,3
1,,,,,,,,1,,1,1,1,,,,,1,,,,,,,2,,,,,,18222,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,18246,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,18299,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,18330,4,1,4
3,,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,18365,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,18381,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,18419,1,1,1
3,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,18518,1,1,1
3,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,18538,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,18585,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,18625,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,18668,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,18735,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,18746,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,18905,2,1,2
2,,,,,1,,,,,1,1,15,,,,,1,,,,,,1,2,,,,,,18933,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19022,1,1,1
3,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,19210,3,1,3
1,,,,,1,,,,,1,1,3,1,,,,,,,,,,,2,,,,,,19297,1,1,1
9,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,19304,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19339,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19471,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19481,2,1,2
1,,,,,1,,,,,1,1,2,,,,,,,,,,,1,2,,,,,,19530,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,19673,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,19709,2,1,2
3,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,19716,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,19723,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19775,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,19779,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,19864,6,1,6
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,19876,3,1,3
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,19900,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,19910,1,1,1
1,1,,,,,,,,,1,1,4,,,,,,,,,,,1,2,,,,,,20064,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,20072,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20114,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20181,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,20328,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20452,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20638,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20719,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,20739,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20803,5,1,5
3,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,20812,2,1,2
3,,1,,,,,,,,1,1,2,,,,,,,,,,,1,2,,,,,,20868,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,20876,2,1,2
1,,1,,,,,,,,1,1,2,,,,1,,1,1,,,,,2,,,,,,20948,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21131,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21226,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21242,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21302,3,1,3
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,21396,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21478,6,1,6
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,21515,2,1,2
3,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,21715,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21728,2,1,2
2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,21767,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,21777,2,1,2
3,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,21788,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,21893,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,22028,2,1,2
3,,,1,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,22034,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,22093,2,1,2
9,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,22149,2,1,2
3,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,22197,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,22431,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,22475,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,22476,1,1,1
3,,,,,1,,,,,1,1,30,,,1,,,,,,1,,1,2,,,,,,22491,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,22500,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,22531,2,1,2
1,,,,1,,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,22647,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,22704,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,22756,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,22850,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,22892,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,22932,4,1,4
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,22964,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,22980,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,23193,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,23243,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,23597,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,23818,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,23845,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,23865,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,23924,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,23954,3,1,3
3,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,24097,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,24211,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,24326,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,24389,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,24414,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,24440,2,1,2
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,24503,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,24544,1,1,1
2,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,24631,1,1,1
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,24650,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,24668,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,24747,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,24769,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,24882,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,24900,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,24919,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,25049,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,25173,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,25209,1,1,1
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,25293,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,25411,2,1,2
1,,,,,1,,,,,1,1,1,,,,,,,,,,,1,2,,,,,,25431,3,1,3
3,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,25699,1,1,1
3,,,,,1,,,,,1,1,3,,,1,,,,,,,,,2,,,,,,25713,3,1,3
3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,25808,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,25927,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,25955,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,25984,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,25985,2,1,2
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,26102,7,1,7
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,26147,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,26214,1,1,1
3,,,,,1,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,26229,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,26421,2,1,2
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,26457,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,26578,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,26713,4,1,4
3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,26739,5,1,5
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,26765,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,26811,1,1,1
1,,,,1,,,,,,1,1,7,,,,,,,,,,1,,2,,,,,,26829,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,26854,1,1,1
3,1,,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,26872,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,26948,2,1,2
3,,,,1,,,,,,1,1,2,,,,,,,,1,,,,2,,,,,,27052,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,27128,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,27290,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,27291,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,27685,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,27717,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,27872,4,1,4
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,27907,5,1,5
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,28215,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,28274,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,28303,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,28360,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,28475,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,28496,6,1,6
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,28500,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,28511,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,28515,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,28533,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,28598,1,1,1
3,1,,,,,,,,,1,1,30,,,,,1,,,,,,,2,,,,,,28668,2,1,2
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,28705,1,1,1
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,28767,1,1,1
2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,28780,4,1,4
2,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,28796,3,1,3
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,28805,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,28941,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,28954,1,1,1
2,,,,,1,,,,,1,1,2,,,,,,,1,1,,,,2,,,,,,28989,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,29008,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,29039,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,29040,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,29051,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,29131,2,1,2
9,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,29143,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,29421,1,1,1
3,,,,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,29534,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,29784,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,29866,2,1,2
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,29936,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,30080,2,1,2
1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,30163,2,1,2
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,30184,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,30194,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,30551,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,30741,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,30757,1,1,1
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,30809,1,1,1
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,31147,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,31335,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,31337,1,1,1
3,,,,,1,,,,,1,1,7,1,,,,,,,,,,,1,,,1,,,31408,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,31432,2,1,2
3,1,,,1,,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,31480,1,1,1
3,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,31523,6,1,6
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,31524,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,31579,4,1,4
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,31591,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,31598,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,31615,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,31669,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,31687,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,31829,1,1,1
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,31888,3,1,3
2,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,31992,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,32154,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,32243,2,1,2
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,32369,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,32439,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,32510,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,32637,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,32837,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,32970,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,33232,4,1,4
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,33274,2,1,2
3,,1,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,33313,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,33325,1,1,1
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,33443,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,33503,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,33646,1,1,1
3,,1,,,,,,,,1,1,10,,,1,,,,,,,,,2,,,,,,33654,2,1,2
2,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,33664,1,1,1
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,33892,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,34042,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,34111,1,1,1
3,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,34119,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,34314,3,1,3
2,,,,,1,,,,,1,1,2,,,,,,,,,,,1,2,,,,,,34357,1,1,1
3,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,34435,1,1,1
3,,,,1,,,,,,1,1,5,,,,,,,,,,1,,2,,,,,,34559,3,1,3
3,1,,,,,,,,,1,1,30,,,,,,,,,,,1,2,,,,,,34601,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,34630,2,1,2
3,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,34654,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,34674,3,1,3
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,34682,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,34688,4,1,4
3,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,34697,1,1,1
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,34706,2,1,2
3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,34801,1,1,1
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,35117,2,1,2
2,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,35126,2,1,2
2,,,,,1,,,,,1,1,10,,,,,,,,,,,1,2,,,,,,35874,1,1,1
3,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,36044,3,1,3
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,36182,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,36290,1,1,1
2,,,,,1,,,,,1,1,30,,,1,1,,,,,,,,2,,,,,,36530,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,36580,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,36590,4,1,4
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,36706,2,1,2
3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,36822,2,1,2
3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,37000,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,37008,3,1,3
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,37059,2,1,2
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,37063,2,1,2
3,,,,,1,,,,,1,1,30,,,,,1,,,,,,,2,,,,,,37067,1,1,1
3,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,37090,1,1,1
