P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,2,,37019,2,1,2
,,2,,2,,37025,1,1,1
,,,,2,,37029,2,1,2
,,,,2,,37043,2,1,2
,,,,2,,37052,1,1,1
,,1,2,2,,37090,1,1,1
1,2,,,,,37282,3,1,3
2,,,,,,37305,1,1,1
,,2,,,,37359,3,1,3
,,,,2,,37391,2,1,2
,,2,,,,37428,1,1,1
2,,,,,,37431,2,1,2
2,,,,2,,37458,4,1,4
2,,,,,,37526,3,1,3
,,,,2,,37589,1,1,1
,,,,2,,37604,1,1,1
1,2,,,,,37610,3,1,3
,,,,2,,37682,1,1,1
,,,,2,,37723,1,1,1
,,2,,,,37808,1,1,1
,,2,,2,,37857,1,1,1
,,,,2,,37874,1,1,1
,,,,2,,37954,3,1,3
,,2,,2,,38155,1,1,1
,,,,2,,38208,1,1,1
,,,,2,,38226,1,1,1
1,1,,,,,38403,2,1,2
,,,,2,,38424,1,1,1
2,,,,,,38501,4,1,4
,,,,2,,38535,4,1,4
,,2,,2,,38746,2,1,2
1,1,,,,,38771,1,1,1
,,2,,,,38790,3,1,3
1,2,,,,,38801,2,1,2
,,2,,,,38814,1,1,1
,,,,1,1,38827,4,1,4
,,,,2,,38898,1,1,1
1,1,,,,,39050,1,1,1
,,2,,,,39074,1,1,1
,,,,2,,39092,3,1,3
,,,,2,,39172,2,1,2
,,,,2,,39241,1,1,1
,,,,2,,39319,1,1,1
,,,,2,,39358,1,1,1
,,,,2,,39428,1,1,1
2,,,,,,39509,2,1,2
1,1,,,,,39706,3,1,3
,,,,1,1,39771,1,1,1
,,,,2,,39935,1,1,1
,,,,2,,39994,1,1,1
,,,,2,,40232,1,1,1
,,,,2,,40335,1,1,1
1,2,,,,,40372,2,1,2
,,,,2,,40394,1,1,1
,,,,2,,40446,3,1,3
,,,,2,,40447,2,1,2
1,2,,,,,40534,1,1,1
,,2,,1,1,40541,1,1,1
,,,,2,,40550,1,1,1
,,,,2,,40576,2,1,2
,,,,2,,40612,2,1,2
,,2,,2,,40682,1,1,1
,,,,2,,40705,1,1,1
,,,,2,,40853,1,1,1
2,,,,,,41045,1,1,1
,,,,2,,41093,1,1,1
2,,,,,,41140,2,1,2
,,,,2,,41214,2,1,2
,,,,2,,41226,1,1,1
,,,,2,,41243,2,1,2
1,1,,,,,41289,2,1,2
,,,,2,,41338,2,1,2
1,2,,,2,,41385,1,1,1
,,,,2,,41394,1,1,1
2,,,,,,41429,1,1,1
2,,,,,,41501,2,1,2
1,2,,,,,41534,2,1,2
,,,,2,,41561,1,1,1
,,2,,,,41705,2,1,2
1,2,1,2,,,41795,2,1,2
,,,,2,,41809,5,1,5
1,2,,,,,41835,1,1,1
2,,,,,,41895,2,1,2
,,,,2,,41897,2,1,2
,,,,2,,41916,1,1,1
,,2,,,,41940,1,1,1
,,,,2,,41957,2,1,2
,,,,2,,42070,1,1,1
,,,,2,,42080,1,1,1
,,,,2,,42111,3,1,3
,,,,2,,42173,1,1,1
,,,,2,,42181,1,1,1
,,,,2,,42286,1,1,1
,,,,2,,42380,1,1,1
,,,,2,,42609,1,1,1
,,,,1,2,42720,1,1,1
,,,,2,,42735,1,1,1
,,,,2,,42804,4,1,4
,,,,1,2,42866,1,1,1
1,2,,,,,42879,2,1,2
1,2,,,,,42924,3,1,3
2,,,,,,43020,1,1,1
2,,,,,,43025,1,1,1
2,,,,,,43068,4,1,4
,,1,2,,,43211,1,1,1
,,,,2,,43230,1,1,1
,,1,1,,,43266,1,1,1
,,,,1,1,43274,1,1,1
2,,,,,,43281,2,1,2
2,,,,,,43319,4,1,4
2,,,,,,43324,1,1,1
,,1,1,,,43389,1,1,1
,,,,2,,43401,1,1,1
,,1,2,,,43464,2,1,2
2,,,,,,43483,1,1,1
,,,,2,,43588,2,1,2
,,1,2,2,,43589,2,1,2
,,,,2,,43634,1,1,1
2,,,,,,43763,1,1,1
,,,,2,,43782,1,1,1
,,1,2,1,2,43934,2,1,2
,,,,1,2,44068,1,1,1
,,,,2,,44088,1,1,1
1,2,,,,,44246,2,1,2
1,2,,,,,44256,3,1,3
,,,,2,,44275,2,1,2
,,,,2,,44312,1,1,1
,,,,2,,44387,1,1,1
,,,,2,,44417,1,1,1
,,,,2,,44430,1,1,1
,,2,,2,,44516,1,1,1
,,,,2,,44658,1,1,1
,,,,2,,44714,1,1,1
,,,,2,,44729,1,1,1
,,,,1,2,44811,1,1,1
,,,,2,,44852,1,1,1
2,,,,,,45040,1,1,1
2,,1,1,1,2,45058,1,1,1
,,,,2,,45084,2,1,2
,,,,2,,45150,2,1,2
,,,,2,,45159,1,1,1
,,2,,,,45201,5,1,5
2,,2,,2,,45216,1,1,1
,,1,2,,,45229,2,1,2
,,,,1,2,45354,2,1,2
,,2,,,,45359,3,1,3
,,,,2,,45387,1,1,1
2,,,,,,45396,1,1,1
,,,,2,,45423,1,1,1
2,,2,,,,45503,2,1,2
,,,,2,,45535,1,1,1
,,,,2,,45556,1,1,1
,,,,2,,45618,1,1,1
,,,,2,,45628,1,1,1
,,,,2,,45653,1,1,1
,,,,2,,45676,2,1,2
,,,,1,2,45698,1,1,1
2,,,,,,45908,2,1,2
,,1,2,,,45928,1,1,1
,,,,2,,45965,2,1,2
,,,,1,2,45978,3,1,3
,,,,2,,45981,1,1,1
,,,,2,,46112,1,1,1
1,2,,,,,46169,3,1,3
,,2,,2,,46178,1,1,1
,,2,,,,46204,1,1,1
,,,,1,2,46302,4,1,4
,,,,2,,46314,1,1,1
,,2,,,,46411,1,1,1
,,,,2,,46430,1,1,1
,,1,2,2,,46590,2,1,2
,,2,,,,46725,3,1,3
,,,,2,,46730,2,1,2
,,,,2,,46770,1,1,1
,,,,2,,46796,2,1,2
,,,,2,,46798,1,1,1
2,,,,,,46928,3,1,3
,,,,2,,47007,1,1,1
,,,,2,,47034,1,1,1
,,,,2,,47126,1,1,1
,,,,1,2,47203,3,1,3
,,2,,,,47240,1,1,1
,,2,,,,47258,1,1,1
,,1,2,,,47334,1,1,1
2,,,,,,47364,3,1,3
,,,,2,,47461,2,1,2
1,2,,,,,47500,2,1,2
2,,,,,,47641,2,1,2
,,2,,,,47663,1,1,1
1,2,,,,,47720,1,1,1
,,2,,2,,47812,3,1,3
,,,,2,,47833,1,1,1
1,2,2,,2,,47860,2,1,2
2,,,,,,47891,1,1,1
2,,,,,,47932,1,1,1
2,,,,,,47941,2,1,2
,,1,2,,,47967,2,1,2
,,,,2,,47990,2,1,2
2,,,,,,48102,2,1,2
2,,,,,,48127,1,1,1
,,,,2,,48278,3,1,3
,,1,2,,,48282,1,1,1
,,,,1,2,48363,2,1,2
,,,,2,,48697,2,1,2
1,2,,,,,48776,4,1,4
2,,,,,,48812,1,1,1
,,2,,2,,48871,2,1,2
2,,,,,,48974,1,1,1
,,2,,2,,48983,1,1,1
,,1,2,,,49000,1,1,1
,,,,1,1,49011,3,1,3
,,,,2,,49045,1,1,1
1,1,1,1,,,49055,3,1,3
,,,,2,,49061,1,1,1
,,2,,,,49109,2,1,2
,,,,1,1,49131,2,1,2
,,2,,1,2,49232,2,1,2
,,,,2,,49250,4,1,4
,,,,1,2,49254,3,1,3
2,,,,,,49358,1,1,1
2,,,,,,49411,3,1,3
2,,,,,,49449,1,1,1
,,2,,2,,49510,1,1,1
,,,,2,,49512,1,1,1
,,,,2,,49527,2,1,2
2,,,,,,49551,1,1,1
2,,9,,,,49558,3,1,3
2,,,,,,49597,5,1,5
,,2,,,,49754,1,1,1
,,2,,,,49777,1,1,1
,,,,2,,49851,3,1,3
,,,,2,,49884,1,1,1
,,2,,,,49980,1,1,1
,,2,,2,,50003,1,1,1
,,,,2,,50034,2,1,2
,,2,,,,50067,1,1,1
,,,,2,,50071,3,1,3
2,,,,,,50073,2,1,2
,,,,2,,50143,2,1,2
1,2,2,,1,2,50197,1,1,1
2,,,,,,50262,3,1,3
,,,,2,,50298,2,1,2
,,,,1,2,50309,2,1,2
,,,,2,,50519,3,1,3
,,2,,,,50569,1,1,1
,,,,1,2,50572,1,1,1
,,,,2,,50590,2,1,2
,,,,2,,50606,1,1,1
,,2,,,,50659,4,1,4
,,2,,,,50670,1,1,1
,,,,2,,50766,1,1,1
,,1,1,,,50840,3,1,3
,,,,2,,50857,1,1,1
,,,,2,,50926,1,1,1
,,2,,,,50936,4,1,4
1,2,,,,,50944,3,1,3
,,,,2,,50950,1,1,1
1,1,,,,,51017,1,1,1
,,,,1,2,51030,1,1,1
,,2,,,,51048,2,1,2
,,2,,,,51064,3,1,3
1,1,,,,,51106,1,1,1
,,,,2,,51118,1,1,1
,,2,,,,51130,3,1,3
,,,,1,2,51135,1,1,1
1,2,,,,,51157,2,1,2
1,2,,,,,51221,2,1,2
,,,,2,,51427,2,1,2
,,2,,,,51498,3,1,3
2,,,,,,51560,4,1,4
2,,,,,,51725,2,1,2
1,1,,,,,51769,2,1,2
1,1,,,,,51781,4,1,4
,,,,2,,51813,2,1,2
1,2,,,,,51912,1,1,1
,,,,2,,51914,1,1,1
,,,,1,1,52108,1,1,1
,,,,2,,52151,2,1,2
,,,,2,,52403,1,1,1
2,,,,,,52459,1,1,1
2,,,,,,52609,2,1,2
2,,2,,1,2,52701,2,1,2
,,2,,,,52769,2,1,2
,,,,2,,52774,2,1,2
,,,,2,,52776,1,1,1
,,,,2,,52825,1,1,1
,,,,1,2,52847,1,1,1
2,,,,,,52954,3,1,3
,,,,9,,52959,1,1,1
,,2,,,,53380,2,1,2
1,2,,,,,53518,3,1,3
,,2,,,,53522,5,1,5
,,2,,,,53551,1,1,1
,,2,,2,,53576,1,1,1
,,2,,,,53593,2,1,2
2,,,,,,53605,2,1,2
2,,,,,,53619,3,1,3
,,2,,2,,53707,1,1,1
1,1,,,,,53757,3,1,3
,,1,1,,,53784,1,1,1
,,,,2,,53807,2,1,2
1,2,,,,,53834,1,1,1
1,2,,,,,53846,1,1,1
,,,,2,,53901,3,1,3
2,,,,,,53908,3,1,3
,,1,2,,,53938,1,1,1
,,2,,,,53966,3,1,3
,,,,2,,53975,1,1,1
,,,,2,,53987,1,1,1
,,2,,,,54084,1,1,1
,,2,,,,54146,4,1,4
,,2,,1,2,54157,1,1,1
,,2,,2,,54205,3,1,3
2,,,,,,54273,2,1,2
2,,,,,,54277,2,1,2
,,,,2,,54284,1,1,1
2,,,,,,54318,1,1,1
2,,,,,,54510,2,1,2
2,,,,,,54543,4,1,4
,,2,,,,54544,1,1,1
,,1,1,1,2,54549,1,1,1
2,,,,,,54587,1,1,1
2,,2,,,,54651,3,1,3
,,2,,,,54669,3,1,3
1,1,,,,,54699,2,1,2
,,2,,,,54764,1,1,1
2,,1,1,,,54903,1,1,1
2,,,,,,54904,3,1,3
2,,,,,,54979,1,1,1
1,2,,,,,55059,1,1,1
,,2,,,,55127,4,1,4
,,,,2,,55183,2,1,2
2,,,,2,,55218,1,1,1
2,,,,,,55224,1,1,1
1,2,,,,,55305,3,1,3
,,,,2,,55345,3,1,3
2,,,,,,55371,1,1,1
,,,,1,2,55449,1,1,1
,,1,1,,,55468,1,1,1
,,,,2,,55476,3,1,3
1,2,,,,,55494,1,1,1
,,,,2,,55513,2,1,2
,,,,2,,55532,1,1,1
1,2,1,2,,,55546,3,1,3
,,2,,,,55560,1,1,1
,,1,1,,,55610,3,1,3
2,,2,,2,,55700,1,1,1
,,2,,2,,55722,2,1,2
2,,,,,,55740,3,1,3
1,2,,,,,55753,1,1,1
,,,,2,,55800,1,1,1
,,1,1,2,,55802,1,1,1
,,,,2,,55819,2,1,2
,,,,2,,55871,1,1,1
,,,,2,,55873,1,1,1
,,1,2,,,55892,2,1,2
,,1,1,,,55974,3,1,3
,,1,2,,,55991,1,1,1
,,,,2,,56101,1,1,1
2,,2,,2,,56124,3,1,3
,,,,2,,56188,2,1,2
,,1,2,2,,56221,3,1,3
,,2,,2,,56272,1,1,1
,,1,2,,,56283,2,1,2
,,,,2,,56333,1,1,1
,,1,1,1,2,56382,1,1,1
,,,,1,2,56386,1,1,1
,,2,,2,,56401,1,1,1
,,2,,,,56461,1,1,1
,,,,2,,56478,2,1,2
,,1,1,2,,56552,1,1,1
,,2,,2,,56569,2,1,2
,,,,2,,56596,1,1,1
,,,,2,,56600,1,1,1
1,1,,,,,56605,2,1,2
,,2,,2,,56641,1,1,1
,,,,2,,56662,1,1,1
,,,,2,,56674,3,1,3
,,,,2,,56687,3,1,3
,,,,1,2,56705,2,1,2
,,1,1,1,2,56710,1,1,1
,,,,2,,56738,2,1,2
,,1,2,2,,56802,3,1,3
,,2,,,,56824,3,1,3
2,,2,,,,56875,2,1,2
1,2,,,,,56887,1,1,1
,,1,1,,,56930,1,1,1
1,2,,,,,56962,3,1,3
,,,,1,2,56985,2,1,2
,,1,1,1,1,57069,3,1,3
,,,,2,,57287,1,1,1
2,,,,,,57441,1,1,1
,,,,2,,57581,3,1,3
,,,,2,,57623,1,1,1
,,1,1,1,2,57628,11,1,11
,,1,1,,,57666,1,1,1
,,2,,,,57683,1,1,1
,,,,2,,57744,1,1,1
,,,,2,,57825,1,1,1
,,2,,,,57839,3,1,3
,,1,1,2,,57870,1,1,1
,,2,,,,57907,5,1,5
,,2,,,,57918,3,1,3
2,,,,2,,57989,1,1,1
,,,,1,2,58009,2,1,2
,,,,2,,58021,6,1,6
2,,,,,,58118,1,1,1
,,,,2,,58187,3,1,3
,,,,2,,58274,1,1,1
,,,,2,,58295,1,1,1
,,,,2,,58325,1,1,1
2,,,,2,,58337,1,1,1
,,2,,2,,58354,1,1,1
,,2,,,,58380,4,1,4
,,,,2,,58443,1,1,1
1,2,,,,,58485,4,1,4
,,2,,,,58507,1,1,1
1,2,,,,,58517,2,1,2
,,2,,,,58520,4,1,4
2,,2,,2,,58586,2,1,2
,,2,,,,58659,1,1,1
,,,,1,2,58847,3,1,3
2,,,,,,58885,3,1,3
1,2,2,,2,,58919,4,1,4
,,1,1,,,58988,1,1,1
,,2,,,,59017,2,1,2
,,,,2,,59089,2,1,2
2,,,,2,,59100,1,1,1
1,2,,,,,59110,1,1,1
,,,,2,,59113,2,1,2
,,,,2,,59114,2,1,2
,,,,2,,59118,3,1,3
,,2,,2,,59250,1,1,1
,,1,2,,,59316,3,1,3
,,,,2,,59351,1,1,1
,,,,2,,59393,1,1,1
,,,,1,2,59396,3,1,3
2,,1,1,,,59429,3,1,3
2,,,,,,59499,2,1,2
,,2,,2,,59508,1,1,1
,,1,1,1,2,59570,3,1,3
2,,,,,,59576,1,1,1
,,2,,1,2,59577,3,1,3
,,,,2,,59629,3,1,3
1,1,,,,,59730,1,1,1
,,2,,2,,59773,2,1,2
,,,,2,,59817,2,1,2
,,,,2,,59832,3,1,3
,,2,,2,,59835,1,1,1
,,,,2,,59939,1,1,1
,,2,,,,59941,2,1,2
2,,,,,,59963,3,1,3
