P_01,P_02,P_03,P_04,P_05,P_06,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,2,,2,,7227,4,1,4
2,,,,,,7250,3,1,3
,,,,2,,7401,1,1,1
,,,,2,,7512,2,1,2
2,,,,,,7536,1,1,1
,,,,2,,7552,2,1,2
2,,,,2,,7559,1,1,1
,,2,,2,,7560,3,1,3
,,1,1,,,7572,1,1,1
,,,,2,,7586,1,1,1
,,,,2,,7626,1,1,1
,,2,,,,7637,3,1,3
,,,,2,,7683,2,1,2
,,,,2,,7700,1,1,1
,,,,2,,7877,2,1,2
2,,,,,,7878,3,1,3
,,,,2,,7909,1,1,1
,,,,2,,8048,2,1,2
,,,,2,,8084,1,1,1
,,,,2,,8088,6,1,6
,,,,1,2,8150,1,1,1
,,,,2,,8185,1,1,1
,,,,2,,8248,1,1,1
,,,,1,2,8261,2,1,2
,,,,2,,8298,2,1,2
,,,,1,2,8344,2,1,2
,,,,2,,8348,1,1,1
1,2,,,,,8380,2,1,2
1,1,,,,,8384,1,1,1
,,,,1,2,8399,1,1,1
2,,,,,,8489,2,1,2
,,,,2,,8503,2,1,2
,,,,2,,8582,2,1,2
,,,,2,,8591,1,1,1
1,2,,,,,8642,2,1,2
,,,,2,,8684,2,1,2
2,,,,,,8752,2,1,2
,,,,2,,8868,1,1,1
1,1,,,,,8882,2,1,2
,,2,,2,,8889,1,1,1
2,,,,,,8910,3,1,3
,,,,2,,8917,2,1,2
,,,,2,,8938,1,1,1
,,2,,,,8953,5,1,5
,,,,2,,8977,1,1,1
1,2,,,,,8984,2,1,2
1,2,,,,,8992,2,1,2
,,,,2,,8998,5,1,5
,,,,2,,9010,2,1,2
,,,,2,,9044,4,1,4
2,,,,,,9059,1,1,1
,,9,,,,9072,2,1,2
,,2,,,,9159,2,1,2
,,,,2,,9165,3,1,3
,,,,2,,9256,1,1,1
,,,,2,,9279,1,1,1
2,,,,,,9327,1,1,1
,,,,2,,9446,3,1,3
,,1,2,,,9480,3,1,3
,,,,2,,9576,2,1,2
,,1,1,1,2,9623,1,1,1
,,,,1,2,9682,3,1,3
1,2,,,,,9695,1,1,1
2,,,,,,9702,1,1,1
2,,,,,,9732,2,1,2
1,1,,,,,9803,3,1,3
,,2,,,,9824,3,1,3
