R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08_A,R_08_B,R_08_C,R_08_D,R_09,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,0,,2,2,2,9,9,9,9,9,192,1,1,1
2,,0,,2,2,2,9,9,9,9,9,195,1,1,1
2,,0,,2,2,2,9,9,9,9,9,196,1,1,1
2,,0,,1,1,2,9,2,9,9,9,197,1,1,1
2,,0,,2,2,2,9,9,9,9,2,198,2,1,2
2,,0,,2,2,2,9,9,9,9,2,201,1,1,1
2,,1,2,2,2,2,9,9,9,9,2,202,1,1,1
2,,0,,2,2,2,9,2,9,9,2,205,2,1,2
2,,5,2,1,2,2,9,9,9,9,2,206,2,1,2
2,,0,,1,1,1,2,2,9,9,2,209,2,1,2
2,,0,,2,2,2,9,2,9,9,2,210,3,1,3
2,,3,2,2,2,2,9,2,9,9,2,214,2,1,2
2,,5,2,2,2,2,1,2,9,9,2,216,1,1,1
2,,0,,9,2,2,9,9,9,9,2,219,1,1,1
2,,0,,2,2,2,9,9,9,9,2,221,1,1,1
2,,0,,1,1,2,9,9,9,9,2,223,2,1,2
2,,0,,1,2,2,9,9,9,9,2,224,2,1,2
2,,0,,1,2,2,9,9,9,9,2,228,1,1,1
2,,0,,2,2,2,9,9,9,9,2,231,1,1,1
2,,0,,1,2,2,9,2,9,9,2,234,3,1,3
2,,2,2,1,2,9,9,9,9,9,2,235,1,1,1
2,,0,,2,1,2,9,9,9,9,2,237,1,1,1
2,,0,,1,2,2,9,2,9,9,9,238,1,1,1
2,,0,,2,2,2,9,1,9,9,2,241,1,1,1
2,,0,,1,2,2,2,2,9,9,2,243,1,1,1
2,,0,,1,1,1,9,9,9,9,2,246,1,1,1
2,,0,,1,2,2,9,2,9,9,9,247,3,1,3
2,,0,,1,2,2,9,2,9,9,2,249,1,1,1
2,,2,2,1,2,2,9,9,9,9,9,250,1,1,1
2,,0,,1,2,9,9,2,9,9,2,252,1,1,1
2,,0,,2,2,2,9,2,9,9,2,254,1,1,1
2,,8,2,1,2,2,9,9,9,9,2,256,1,1,1
2,,0,,2,2,2,9,2,9,9,2,257,4,1,4
2,,0,,1,1,1,9,9,9,9,2,259,1,1,1
2,,0,,2,1,9,9,9,9,9,2,260,1,1,1
2,,0,,1,1,1,9,9,9,9,2,262,1,1,1
1,2,0,,1,1,2,9,2,9,9,2,265,1,1,1
2,,2,2,1,2,2,2,2,2,9,2,266,1,1,1
2,,0,,2,1,9,9,2,9,9,2,267,1,1,1
2,,0,,1,1,2,9,9,9,9,9,268,2,1,2
2,,0,,1,1,2,1,1,9,9,1,270,1,1,1
2,,0,,2,2,2,9,9,9,9,2,273,2,1,2
2,,0,,1,1,2,9,2,9,9,2,274,1,1,1
2,,0,,1,1,1,9,2,9,9,2,275,2,1,2
2,,15,2,1,2,2,2,2,9,9,2,279,1,1,1
2,,0,,2,1,1,9,2,9,9,2,283,1,1,1
2,,0,,1,1,9,9,2,9,9,1,284,1,1,1
2,,0,,2,2,2,9,2,9,9,2,286,1,1,1
2,,0,,1,1,2,9,9,9,9,2,287,2,1,2
2,,0,,2,2,2,9,2,9,9,2,289,2,1,2
2,,0,,2,1,2,1,2,9,9,2,290,1,1,1
2,,0,,2,2,2,9,9,9,9,9,292,1,1,1
2,,0,,1,2,9,9,2,9,9,2,299,1,1,1
2,,0,,9,2,2,9,2,9,9,2,304,2,1,2
2,,0,,2,2,2,9,9,9,9,2,308,1,1,1
2,,0,,1,1,9,9,2,9,9,2,309,1,1,1
2,,0,,2,2,2,9,9,9,9,2,311,1,1,1
2,,0,,1,1,2,9,9,9,9,2,313,2,1,2
2,,0,,1,1,2,9,9,9,9,2,315,3,1,3
2,,0,,2,2,2,1,1,9,9,9,318,6,1,6
2,,0,,2,1,9,9,9,9,9,2,319,1,1,1
2,,0,,1,1,2,9,2,9,9,2,320,1,1,1
2,,0,,2,2,2,9,2,9,9,2,327,2,1,2
2,,0,,1,1,9,9,9,9,9,2,328,1,1,1
2,,0,,2,2,2,9,2,9,9,2,330,1,1,1
2,,0,,1,2,9,9,2,9,9,2,332,1,1,1
1,2,1,2,2,1,1,9,2,9,9,2,334,1,1,1
2,,0,,2,2,2,9,9,9,9,2,338,2,1,2
2,,0,,1,1,2,9,2,9,9,2,345,1,1,1
