K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,2,1,2
,1,,,3,1,5,1,29,80000,2,1,2000,DOS MIL PESOS,,,1,1,1,,,,,1,1,,,,,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1124,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135,1,1,1
,1,,,3,1,4,1,5,5000,4,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1142,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147,2,1,2
1,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188,3,1,3
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198,1,1,1
1,,,,3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1232,3,1,3
1,1,1,,3,1,5,1,30,50000,3,1,2000,DOS MIL PESOS,,,1,1,1,,,,,2,,,,,,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1236,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,1,1,1
1,,,,3,1,3,2,,,6,1,3000,TRES MIL PESOS,,,,1,,,1,,,2,,,,,,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1371,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446,2,1,2
1,1,,,1,1,5,1,30,40000,40,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1455,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491,1,1,1
