K_01_A,K_01_B,K_01_C,K_01_D,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_09_VALOR,K_09_TEXTO,K_10_A,K_10_B,K_10_C,K_10_D,K_10_E,K_10_F,K_10_G,K_10_H,K_10_I,K_11,K_11_A,K_11_B,K_11_C,K_11_D,K_11_E,K_12_A,K_12_B,K_12_C,K_12_D,K_12_E,K_12_F,K_12_G,K_12_H,K_12_I,K_12_J,K_12_K,K_12_L,K_12_M,K_12_N,K_12_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15898,1,1,1
1,1,1,,3,1,2,1,2,5000,1,1,2000,DOS MIL PESOS,,,,,,,1,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15962,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15970,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16010,1,1,1
,1,,,3,1,3,1,7,20000,3,1,20000,VEINTE MIL PESOS,,,,1,,,,,,2,,,,,,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,16014,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16031,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16052,3,1,3
1,,,,3,1,4,1,1,5000,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,16057,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16078,1,1,1
1,1,1,,3,1,1,2,,,1,1,2000,DOS MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16084,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16112,2,1,2
,1,,,3,1,3,1,1,10000,1,1,10000,DIEZ MIL PESOS,,,,,,1,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16122,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16127,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16138,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16156,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16194,4,1,4
,1,,,3,1,2,2,,,99,1,4000,CUATRO MIL,,,,1,,,,,,2,,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,16206,4,1,4
,1,,,3,1,4,1,20,60000,40,1,2500,DOS MIL QUINIENTOS,,,,,1,,,,,1,1,,,,,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,16250,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16270,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16273,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16288,2,1,2
,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16307,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16319,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16336,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16352,2,1,2
,,,1,3,1,2,1,3,5000,1,1,3000,TRES MIL,,,,,,1,,,,2,,,,,,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,16371,4,1,4
,1,,,3,1,3,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16382,1,1,1
,1,,,3,1,1,2,,,1,1,3000,TRES MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16389,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16391,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16397,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16406,3,1,3
,,1,,2,1,1,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16455,4,1,4
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16471,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16485,1,1,1
1,,,,3,1,4,1,20,10000,20,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,16516,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16528,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16531,1,1,1
1,1,1,,3,1,5,1,30,100000,150,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,1,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16532,1,1,1
,1,,,3,1,5,1,30,15000,30,1,1000,MIL PESO,,,,1,,,,,,1,1,,,,,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,16534,6,1,6
,1,,,3,1,5,1,30,30000,30,1,1000,MIL PESOS,,,1,1,,,,,,2,,,,,,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,16536,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16537,8,1,8
,1,,,3,1,2,2,,,2,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16551,2,1,2
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16564,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16580,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16602,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16618,1,1,1
1,1,,,3,1,5,1,30,80000,40,1,2000,DOS MIL,,,1,,,,,,,2,,,,,,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,16619,2,1,2
1,,,,3,1,2,2,,,1,1,3000,TRES MIL,,,,,,1,,,,2,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,16623,4,1,4
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16629,3,1,3
,1,1,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16633,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16636,3,1,3
1,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16682,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16707,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16709,2,1,2
1,1,1,,3,1,3,1,2,10000,5,1,2000,DOS MIL PESOS,,,1,1,,,1,,,1,1,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,16720,3,1,3
,1,,,3,1,5,1,30,10000,20,1,2000,DOS MIL PESOS COLOMBIANOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,16728,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16749,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16795,2,1,2
,1,1,,1,1,5,1,15,20000,30,1,2000,DOS MIL PESOS,,,,,,1,,,,1,1,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,16811,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16814,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16821,1,1,1
,,1,1,3,1,4,1,25,30000,50,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,1,,,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,16822,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16840,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16892,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16899,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16952,3,1,3
,1,,,3,1,4,1,15,10000,12,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,16967,3,1,3
,1,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16970,2,1,2
,1,,,3,1,3,2,,,1,1,4000,CUATRO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,17054,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17060,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17088,3,1,3
1,,,,2,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,17096,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17097,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17135,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17149,3,1,3
1,,,,3,1,5,1,30,20000,30,1,3000,TRES MIL PESOS,,,1,,,,,,,2,,,,,,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,17153,1,1,1
1,1,1,,3,1,5,1,30,20000,30,1,3000,TRES MIL PESOS,,,1,1,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,17159,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17169,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17176,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17178,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17189,1,1,1
,,,1,3,1,5,1,30,5000,30,1,2000,DOS MIL PESOS,,,,,,,,1,,2,,,,,,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,17197,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,2,1,2
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17206,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17235,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17240,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17244,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17251,1,1,1
,1,,,3,1,4,1,10,40000,10,1,4000,CUATRO MIL,,,1,,,,,,,2,,,,,,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,17252,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17254,1,1,1
,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17255,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17264,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17265,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17269,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17293,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17295,2,1,2
,1,,,3,1,4,1,8,12000,8,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,17300,3,1,3
,1,,,2,1,2,2,,,3,2,,,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,17340,4,1,4
1,1,,,3,1,3,1,1,5000,2,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17342,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17349,1,1,1
,1,,,3,1,5,1,30,50000,30,1,1000,MIL PESOS,,,,1,,,,,,1,1,,,,,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,17373,1,1,1
1,1,1,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,17378,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17382,1,1,1
1,,,,3,1,1,2,,,1,1,5000,CINCO MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17407,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17413,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17469,1,1,1
,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17483,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17490,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17548,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17554,3,1,3
,1,,,1,1,4,1,15,20000,20,1,6000,SEISMIL,,,1,,,,,,,2,,,,,,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,17581,2,1,2
,,1,,3,1,2,2,,,1,1,2000,DOS MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17602,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17617,4,1,4
,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17653,4,1,4
,1,,,2,1,4,2,,,2,1,2000,DOS MIL,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17655,6,1,6
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17711,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17733,1,1,1
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17756,1,1,1
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17763,2,1,2
,1,,,3,1,4,1,15,98,10,1,3000,TRES MIL PESOS,,,,,,,,,1,1,1,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,17781,2,1,2
,1,,,3,1,5,1,30,10000,30,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,17798,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17800,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17816,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17830,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17849,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17851,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888,1,1,1
,1,,,3,1,2,1,3,98,1,1,6000,SEIS MIL PESOS,,,,,,,,1,,2,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,17889,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17894,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17906,4,1,4
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17924,1,1,1
,1,,,3,1,5,1,30,40000,90,1,2000,DOS MIL PESOS,,,,,,1,,,,1,1,,,,,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,17933,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17995,1,1,1
1,,,,3,1,5,1,30,90000,30,1,3000,TRES MIL PESOS COLOMBIANOS,,,,,,1,,,,2,,,,,,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,18012,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18023,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18082,3,1,3
,1,,,3,1,2,2,,,5,1,1000,MIL PESOS,,,1,,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,18100,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18124,1,1,1
1,1,1,,3,1,5,1,30,35000,150,1,2000,DOS MIL,,,,1,1,,,,,1,1,,,,,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,18128,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18131,1,1,1
,1,,,3,1,2,1,1,1000,1,1,1000,MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,18151,4,1,4
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18152,4,1,4
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18153,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18156,1,1,1
1,1,1,,3,1,5,1,20,40000,60,1,2000,DOS MIL PESOS,,,1,,1,1,,,,1,1,,,,,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,18159,2,1,2
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18169,3,1,3
,1,,,3,1,2,2,,,1,1,3000,TRES MIL PESOS,,,,1,,,,,,2,,,,,,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,18217,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18242,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18243,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18277,2,1,2
1,,,,3,1,2,2,,,1,1,2000,DOS MIL,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,18309,2,1,2
1,,,,3,1,2,2,,,2,2,,,,,1,,,,,,,1,1,,,,,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,18315,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18328,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18331,2,1,2
1,,,,2,1,2,2,,,1,1,6000,SEIS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18341,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18342,1,1,1
1,,,,2,1,1,2,,,1,2,,,,,,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,18381,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18423,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18426,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18484,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18498,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18540,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18560,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18561,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18607,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18610,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18613,1,1,1
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18615,1,1,1
,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18627,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18628,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18655,2,1,2
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18667,4,1,4
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18668,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18708,2,1,2
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18732,1,1,1
1,1,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18735,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18739,5,1,5
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18746,1,1,1
1,1,,,3,1,3,1,2,4000,2,1,2000,DOS MIL PESOS,,,1,,,,,,,1,1,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,18791,1,1,1
,1,,,3,1,3,1,15,10000,15,1,1000,MIIL PESOS,,,,,1,,,,,1,1,,,,,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,18810,2,1,2
1,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18828,1,1,1
,1,,,2,1,3,2,,,6,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,18830,1,1,1
1,1,1,1,1,1,5,1,30,98,60,2,,,,,,,,,,,1,1,1,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,18880,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18887,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18905,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18914,1,1,1
,1,,,3,1,3,1,4,30000,2,1,2500,DOS MIL QUINIENTOS PESOS,,,1,,,,,,,2,,,,,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,18928,3,1,3
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18955,3,1,3
1,,1,,3,1,2,1,10,98,1,2,,,,,,,,,,1,,1,1,,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,18966,1,1,1
,1,,,3,1,4,1,4,10000,5,1,2000,DOS MIL PESOS,,,,1,,,,,,2,,,,,,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,18983,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18998,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,2,1,2
1,1,,,3,1,3,2,,,3,1,2000,DOS MIL PESOS,,,1,1,,,,,,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19001,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19021,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19022,1,1,1
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19063,2,1,2
1,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19064,1,1,1
,1,,,3,1,3,1,1,5000,4,1,4000,CUATRO MIL PESOS,,,,1,,,,,,2,,,,,,2,2,2,2,1,2,2,2,1,1,1,1,2,1,1,19066,3,1,3
1,1,,,3,1,5,1,30,10000,3,1,1500,MIL QUINIENTOS PESOS,,,,,,,,1,,1,1,1,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,19075,3,1,3
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19086,4,1,4
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19117,1,1,1
,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19129,1,1,1
1,,,,3,1,1,1,1,2000,1,1,2000,DOS MIL PESOS,,,,1,,,,,,1,1,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,19132,4,1,4
,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19135,2,1,2
