Q_01_A,Q_01_B,Q_01_C,Q_01_D,Q_02,Q_03,Q_04,Q_05_A,Q_05_B,Q_05_C,Q_05_D,Q_05_E,Q_05_F,Q_05_G,Q_05_H,Q_05_I,Q_05_J,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,Q_01_E
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,158,1,1,1,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,160,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,161,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,162,1,1,1,
,,,2,2,,,1,1,1,1,3,1,1,2,1,1,163,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,164,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,165,3,1,3,
,,,2,2,,,2,1,1,1,2,1,1,1,1,1,166,1,1,1,
,,,2,2,,,1,2,1,3,1,1,1,1,1,1,167,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,170,1,1,1,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,172,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,2,1,1,173,1,1,1,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,176,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,177,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,179,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,180,1,1,1,
,,,2,2,,,2,1,1,4,3,1,1,1,1,1,181,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,190,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,3,191,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,4,197,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,204,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,205,2,1,2,
,,,2,2,,,1,1,1,1,3,1,1,1,1,2,209,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,210,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,212,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,214,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,2,1,2,216,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,217,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,218,2,1,2,
,,,2,2,,,1,1,1,1,2,1,2,1,1,1,220,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,226,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,232,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,234,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,238,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,2,1,2,239,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,241,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,242,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,243,1,1,1,
,,,2,2,,,2,1,1,1,1,1,2,1,2,1,245,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,247,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,249,1,1,1,
,,,2,2,,,1,1,1,2,2,1,1,1,1,1,252,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,253,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,254,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,257,4,1,4,
,,,2,2,,,1,1,1,1,2,1,1,2,1,1,263,1,1,1,
,,,2,2,,,1,2,1,1,1,1,1,1,1,1,264,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,2,1,2,265,1,1,1,
,,,2,2,,,1,1,1,3,1,1,1,1,1,1,266,1,1,1,
,1,,,2,,,1,1,1,1,1,1,1,1,3,1,267,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,270,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,272,4,1,4,
,,,2,2,,,2,1,1,1,2,1,1,1,1,4,274,1,1,1,
,,,2,2,,,1,1,1,1,3,1,1,1,1,4,275,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,277,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,278,2,1,2,
,,,2,2,,,1,1,1,3,4,1,1,1,1,1,279,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,283,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,284,1,1,1,
,,,2,2,,,1,1,1,4,3,1,1,1,1,1,286,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,289,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,290,1,1,1,
,,,2,2,,,3,2,1,1,3,1,1,1,1,1,295,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,297,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,299,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,300,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,304,2,1,2,
,,,2,2,,,1,2,1,1,1,1,1,2,1,1,305,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,307,5,1,5,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,309,1,1,1,
1,1,,,2,,,4,2,2,2,4,2,1,2,2,2,318,6,1,6,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,320,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,322,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,323,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,327,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,330,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,332,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,333,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,334,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,337,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,340,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,344,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,345,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,346,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,347,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,349,2,1,2,
,,,2,2,,,1,1,1,1,3,1,1,1,1,1,354,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,2,1,1,357,3,1,3,
,,,2,1,3,1,1,1,1,1,1,1,1,2,1,1,358,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,359,1,1,1,
,,,2,2,,,3,1,1,1,3,1,1,3,1,2,361,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,362,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,363,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,2,1,1,366,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,367,2,1,2,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,369,2,1,2,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,373,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,374,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,375,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,377,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,384,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,388,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,389,3,1,3,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,390,3,1,3,
,,,2,2,,,2,1,1,1,1,1,1,2,1,1,391,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,393,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,394,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,398,2,1,2,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,399,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,400,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,2,1,1,401,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,403,2,1,2,
,,,2,2,,,2,1,2,1,3,1,1,2,1,3,404,4,1,4,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,405,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,406,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,407,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,408,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,410,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,1,1,415,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,416,2,1,2,
,,,2,2,,,1,1,1,4,4,1,1,2,1,1,418,1,1,1,
,,,2,2,,,2,1,1,1,1,1,1,1,2,1,419,2,1,2,
,,,2,1,4,,1,2,4,1,1,1,1,2,3,3,420,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,421,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,422,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,423,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,424,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,425,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,1,1,1,429,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,430,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,432,3,1,3,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,433,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,434,2,1,2,
,,,2,2,,,1,1,1,2,1,1,1,2,1,1,435,1,1,1,
,,,2,2,,,1,1,1,2,1,1,1,1,1,1,436,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,438,2,1,2,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,441,1,1,1,
,,,2,9,,,1,1,1,1,1,1,1,1,1,1,442,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,444,1,1,1,
,1,,,2,,,4,1,2,3,3,1,1,1,2,3,448,3,1,3,
,1,,,2,,,1,1,1,3,4,1,1,1,2,3,451,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,456,1,1,1,
,,,2,2,,,1,1,1,1,1,1,1,1,1,1,458,1,1,1,
,,,2,2,,,1,1,1,1,2,1,1,1,1,2,468,4,1,4,
