E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,,,,,,,,2,,,7800,4,1,4
2,,,,,,,,,2,,,7801,4,1,4
2,,,,,,,,,2,,,7803,3,1,3
1,15,3,2,,,,,,2,,,7804,2,1,2
2,,,,,,,,,2,,,7805,5,1,5
2,,,,,,,,,2,,,7809,3,1,3
2,,,,,,,,,2,,,7811,1,1,1
2,,,,,,,,,2,,,7812,2,1,2
2,,,,,,,,,2,,,7813,3,1,3
2,,,,,,,,,2,,,7814,1,1,1
1,17,3,2,,,,,,2,,,7816,1,1,1
2,,,,,,,,,2,,,7817,3,1,3
2,,,,,,,,,2,,,7818,5,1,5
2,,,,,,,,,2,,,7819,2,1,2
2,,,,,,,,,2,,,7820,1,1,1
2,,,,,,,,,2,,,7822,2,1,2
2,,,,,,,,,2,,,7823,2,1,2
2,,,,,,,,,2,,,7824,2,1,2
2,,,,,,,,,2,,,7825,3,1,3
2,,,,,,,,,2,,,7826,3,1,3
2,,,,,,,,,2,,,7827,2,1,2
2,,,,,,,,,2,,,7828,1,1,1
2,,,,,,,,,2,,,7829,2,1,2
2,,,,,,,,,2,,,7830,1,1,1
2,,,,,,,,,2,,,7831,3,1,3
1,16,3,2,,,,,,2,,,7832,1,1,1
1,20,3,1,1,30,1,1,15,2,,,7833,2,1,2
1,11,3,1,1,10,1,2,,2,,,7834,1,1,1
2,,,,,,,,,2,,,7835,1,1,1
2,,,,,,,,,2,,,7836,1,1,1
2,,,,,,,,,2,,,7837,2,1,2
2,,,,,,,,,2,,,7838,1,1,1
1,15,3,2,,,,,,2,,,7839,2,1,2
1,15,3,2,,,,,,2,,,7842,4,1,4
1,16,3,1,1,22,1,2,,1,17,2,7843,5,1,5
1,20,3,2,,,,,,2,,,7844,1,1,1
1,15,3,2,,,,,,2,,,7846,1,1,1
2,,,,,,,,,2,,,7847,2,1,2
2,,,,,,,,,2,,,7848,5,1,5
2,,,,,,,,,2,,,7849,3,1,3
2,,,,,,,,,2,,,7850,2,1,2
2,,,,,,,,,2,,,7851,1,1,1
1,18,3,2,,,,,,2,,,7852,3,1,3
1,18,3,1,1,3,1,1,1,2,,,7853,3,1,3
2,,,,,,,,,2,,,7854,4,1,4
2,,,,,,,,,2,,,7855,3,1,3
2,,,,,,,,,2,,,7856,2,1,2
2,,,,,,,,,2,,,7857,1,1,1
2,,,,,,,,,2,,,7859,3,1,3
1,21,3,9,,,,,,2,,,7860,2,1,2
2,,,,,,,,,2,,,7862,1,1,1
2,,,,,,,,,2,,,7863,3,1,3
1,14,3,2,,,,,,2,,,7864,3,1,3
2,,,,,,,,,2,,,7865,2,1,2
2,,,,,,,,,2,,,7866,2,1,2
1,16,3,2,,,,,,2,,,7867,1,1,1
2,,,,,,,,,2,,,7868,4,1,4
2,,,,,,,,,2,,,7869,5,1,5
2,,,,,,,,,2,,,7870,3,1,3
2,,,,,,,,,2,,,7871,3,1,3
2,,,,,,,,,2,,,7873,3,1,3
1,19,3,2,,,,,,2,,,7874,2,1,2
2,,,,,,,,,2,,,7875,2,1,2
2,,,,,,,,,2,,,7876,2,1,2
1,17,3,1,1,5,1,2,,1,19,2,7877,2,1,2
2,,,,,,,,,2,,,7878,3,1,3
2,,,,,,,,,2,,,7879,1,1,1
2,,,,,,,,,2,,,7880,3,1,3
2,,,,,,,,,2,,,7881,2,1,2
2,,,,,,,,,2,,,7882,3,1,3
1,16,3,2,,,,,,2,,,7883,1,1,1
2,,,,,,,,,2,,,7884,2,1,2
2,,,,,,,,,2,,,7885,3,1,3
2,,,,,,,,,2,,,7886,2,1,2
2,,,,,,,,,2,,,7887,2,1,2
2,,,,,,,,,2,,,7888,1,1,1
2,,,,,,,,,2,,,7889,3,1,3
2,,,,,,,,,2,,,7890,3,1,3
1,17,3,2,,,,,,2,,,7891,1,1,1
2,,,,,,,,,2,,,7892,2,1,2
2,,,,,,,,,2,,,7893,1,1,1
2,,,,,,,,,2,,,7894,2,1,2
2,,,,,,,,,2,,,7895,3,1,3
2,,,,,,,,,2,,,7896,2,1,2
2,,,,,,,,,2,,,7897,2,1,2
2,,,,,,,,,2,,,7898,1,1,1
2,,,,,,,,,2,,,7899,2,1,2
1,18,3,2,,,,,,2,,,7900,1,1,1
2,,,,,,,,,2,,,7901,2,1,2
1,18,3,1,1,4,2,,,2,,,7902,1,1,1
2,,,,,,,,,2,,,7903,3,1,3
2,,,,,,,,,2,,,7904,1,1,1
2,,,,,,,,,2,,,7905,4,1,4
2,,,,,,,,,2,,,7906,1,1,1
1,17,3,2,,,,,,2,,,7907,2,1,2
2,,,,,,,,,2,,,7908,2,1,2
1,21,3,1,1,5,2,,,2,,,7909,1,1,1
2,,,,,,,,,2,,,7910,6,1,6
1,15,3,2,,,,,,2,,,7911,2,1,2
1,14,3,1,1,5,1,3,,1,17,1,7912,3,1,3
1,40,3,2,,,,,,2,,,7913,2,1,2
2,,,,,,,,,2,,,7914,3,1,3
1,24,3,2,,,,,,2,,,7915,1,1,1
2,,,,,,,,,2,,,7916,3,1,3
2,,,,,,,,,2,,,7917,2,1,2
2,,,,,,,,,2,,,7918,3,1,3
2,,,,,,,,,2,,,7919,1,1,1
2,,,,,,,,,2,,,7920,5,1,5
1,12,3,1,1,30,1,1,2,2,,,7921,2,1,2
2,,,,,,,,,2,,,7922,3,1,3
2,,,,,,,,,2,,,7923,1,1,1
1,17,3,2,,,,,,2,,,7924,3,1,3
1,18,3,2,,,,,,2,,,7925,2,1,2
2,,,,,,,,,2,,,7926,2,1,2
1,13,3,1,1,15,1,2,,2,,,7927,1,1,1
2,,,,,,,,,2,,,7928,2,1,2
1,17,3,1,2,,,,,2,,,7929,1,1,1
2,,,,,,,,,2,,,7931,1,1,1
1,15,3,1,2,,,,,2,,,7932,1,1,1
1,23,3,2,,,,,,2,,,7933,1,1,1
2,,,,,,,,,2,,,7934,2,1,2
2,,,,,,,,,2,,,7937,1,1,1
2,,,,,,,,,2,,,7938,2,1,2
2,,,,,,,,,2,,,7939,1,1,1
2,,,,,,,,,2,,,7941,2,1,2
2,,,,,,,,,2,,,7942,1,1,1
2,,,,,,,,,2,,,7943,2,1,2
2,,,,,,,,,2,,,7945,2,1,2
2,,,,,,,,,2,,,7946,1,1,1
2,,,,,,,,,2,,,7947,3,1,3
2,,,,,,,,,2,,,7948,3,1,3
2,,,,,,,,,2,,,7949,4,1,4
1,22,2,1,1,24,1,2,,2,,,7950,1,1,1
1,13,3,2,,,,,,2,,,7952,1,1,1
2,,,,,,,,,2,,,7953,2,1,2
2,,,,,,,,,1,15,1,7954,5,1,5
2,,,,,,,,,2,,,7955,2,1,2
2,,,,,,,,,2,,,7956,1,1,1
2,,,,,,,,,2,,,7957,4,1,4
2,,,,,,,,,2,,,7958,4,1,4
1,20,3,2,,,,,,2,,,7959,1,1,1
2,,,,,,,,,2,,,7960,4,1,4
2,,,,,,,,,2,,,7961,4,1,4
2,,,,,,,,,2,,,7962,1,1,1
2,,,,,,,,,2,,,7963,3,1,3
1,24,3,1,1,30,1,1,30,2,,,7964,1,1,1
2,,,,,,,,,2,,,7965,2,1,2
1,22,3,1,1,30,1,1,20,1,50,2,7966,2,1,2
2,,,,,,,,,2,,,7967,2,1,2
2,,,,,,,,,2,,,7968,6,1,6
1,14,3,2,,,,,,2,,,7969,1,1,1
2,,,,,,,,,2,,,7970,2,1,2
2,,,,,,,,,2,,,7971,1,1,1
1,18,3,2,,,,,,2,,,7972,1,1,1
1,13,3,2,,,,,,2,,,7973,1,1,1
2,,,,,,,,,2,,,7974,5,1,5
2,,,,,,,,,2,,,7975,3,1,3
2,,,,,,,,,2,,,7976,2,1,2
2,,,,,,,,,2,,,7977,3,1,3
2,,,,,,,,,2,,,7978,6,1,6
2,,,,,,,,,2,,,7979,1,1,1
2,,,,,,,,,2,,,7980,4,1,4
2,,,,,,,,,2,,,7981,3,1,3
2,,,,,,,,,2,,,7982,2,1,2
2,,,,,,,,,2,,,7984,1,1,1
1,23,2,1,1,28,1,1,6,2,,,7985,3,1,3
2,,,,,,,,,2,,,7986,4,1,4
2,,,,,,,,,2,,,7987,2,1,2
2,,,,,,,,,2,,,7988,2,1,2
2,,,,,,,,,1,55,2,7989,1,1,1
2,,,,,,,,,2,,,7990,2,1,2
2,,,,,,,,,2,,,7991,1,1,1
1,18,3,1,1,4,1,2,,1,31,1,7992,3,1,3
2,,,,,,,,,2,,,7993,2,1,2
2,,,,,,,,,2,,,7994,2,1,2
2,,,,,,,,,2,,,7995,3,1,3
1,25,3,2,,,,,,2,,,7996,1,1,1
2,,,,,,,,,2,,,7997,5,1,5
2,,,,,,,,,2,,,7998,1,1,1
2,,,,,,,,,2,,,7999,2,1,2
2,,,,,,,,,2,,,8000,1,1,1
2,,,,,,,,,2,,,8001,3,1,3
1,16,3,1,1,30,1,1,3,2,,,8002,1,1,1
2,,,,,,,,,2,,,8003,2,1,2
2,,,,,,,,,2,,,8004,1,1,1
2,,,,,,,,,2,,,8005,1,1,1
2,,,,,,,,,2,,,8007,1,1,1
2,,,,,,,,,2,,,8008,3,1,3
2,,,,,,,,,2,,,8009,2,1,2
1,17,3,2,,,,,,2,,,8010,2,1,2
2,,,,,,,,,2,,,8011,2,1,2
1,17,3,1,1,2,2,,,2,,,8012,1,1,1
1,13,3,1,1,20,1,1,4,2,,,8013,1,1,1
2,,,,,,,,,2,,,8014,3,1,3
2,,,,,,,,,2,,,8015,1,1,1
2,,,,,,,,,2,,,8016,1,1,1
1,18,3,2,,,,,,2,,,8017,1,1,1
2,,,,,,,,,2,,,8018,2,1,2
1,11,3,1,1,30,1,1,20,2,,,8019,2,1,2
1,17,3,2,,,,,,2,,,8020,1,1,1
2,,,,,,,,,2,,,8021,1,1,1
2,,,,,,,,,2,,,8022,3,1,3
1,15,3,1,1,2,1,2,,2,,,8023,2,1,2
1,16,3,2,,,,,,2,,,8024,7,1,7
2,,,,,,,,,2,,,8025,4,1,4
2,,,,,,,,,2,,,8026,4,1,4
2,,,,,,,,,2,,,8027,3,1,3
2,,,,,,,,,2,,,8028,1,1,1
1,18,3,2,,,,,,2,,,8030,1,1,1
1,7,3,1,1,30,1,1,5,2,,,8032,1,1,1
2,,,,,,,,,2,,,8033,1,1,1
1,18,3,1,2,,,,,2,,,8034,1,1,1
2,,,,,,,,,2,,,8035,1,1,1
2,,,,,,,,,2,,,8036,1,1,1
2,,,,,,,,,2,,,8037,5,1,5
2,,,,,,,,,2,,,8038,3,1,3
2,,,,,,,,,2,,,8039,3,1,3
2,,,,,,,,,2,,,8040,1,1,1
1,12,3,1,1,29,1,1,12,2,,,8041,4,1,4
2,,,,,,,,,2,,,8042,1,1,1
2,,,,,,,,,2,,,8043,2,1,2
2,,,,,,,,,2,,,8044,3,1,3
1,15,3,2,,,,,,2,,,8045,2,1,2
2,,,,,,,,,2,,,8046,1,1,1
2,,,,,,,,,2,,,8048,2,1,2
2,,,,,,,,,2,,,8049,2,1,2
2,,,,,,,,,2,,,8050,1,1,1
2,,,,,,,,,2,,,8051,2,1,2
2,,,,,,,,,2,,,8052,1,1,1
1,8,3,2,,,,,,2,,,8053,2,1,2
2,,,,,,,,,2,,,8054,4,1,4
1,17,1,1,2,,,,,2,,,8056,1,1,1
2,,,,,,,,,2,,,8057,1,1,1
1,20,3,2,,,,,,2,,,8058,1,1,1
2,,,,,,,,,2,,,8059,2,1,2
1,20,3,2,,,,,,2,,,8060,1,1,1
1,21,3,2,,,,,,2,,,8061,2,1,2
2,,,,,,,,,2,,,8063,3,1,3
2,,,,,,,,,2,,,8064,1,1,1
2,,,,,,,,,2,,,8065,1,1,1
2,,,,,,,,,2,,,8066,1,1,1
2,,,,,,,,,2,,,8067,1,1,1
2,,,,,,,,,2,,,8068,1,1,1
1,12,3,2,,,,,,2,,,8069,2,1,2
2,,,,,,,,,2,,,8070,1,1,1
2,,,,,,,,,2,,,8071,3,1,3
1,22,3,2,,,,,,2,,,8072,1,1,1
2,,,,,,,,,2,,,8073,1,1,1
2,,,,,,,,,2,,,8074,2,1,2
1,22,3,2,,,,,,2,,,8075,1,1,1
2,,,,,,,,,2,,,8076,2,1,2
2,,,,,,,,,2,,,8077,2,1,2
1,20,3,2,,,,,,2,,,8078,1,1,1
2,,,,,,,,,2,,,8080,2,1,2
2,,,,,,,,,2,,,8081,1,1,1
2,,,,,,,,,2,,,8082,1,1,1
2,,,,,,,,,2,,,8083,1,1,1
2,,,,,,,,,2,,,8084,1,1,1
2,,,,,,,,,2,,,8085,3,1,3
2,,,,,,,,,2,,,8086,2,1,2
2,,,,,,,,,2,,,8088,6,1,6
1,18,3,2,,,,,,2,,,8089,2,1,2
2,,,,,,,,,2,,,8090,4,1,4
2,,,,,,,,,2,,,8092,3,1,3
2,,,,,,,,,2,,,8093,1,1,1
2,,,,,,,,,2,,,8094,3,1,3
1,18,3,1,2,,,,,1,39,2,8095,1,1,1
2,,,,,,,,,2,,,8096,1,1,1
2,,,,,,,,,2,,,8097,1,1,1
2,,,,,,,,,2,,,8098,5,1,5
2,,,,,,,,,2,,,8099,1,1,1
2,,,,,,,,,2,,,8100,2,1,2
2,,,,,,,,,2,,,8101,3,1,3
1,15,3,1,2,,,,,2,,,8102,1,1,1
2,,,,,,,,,2,,,8105,2,1,2
2,,,,,,,,,2,,,8106,1,1,1
1,13,3,2,,,,,,1,38,2,8107,1,1,1
2,,,,,,,,,2,,,8108,1,1,1
2,,,,,,,,,2,,,8109,1,1,1
2,,,,,,,,,2,,,8110,2,1,2
2,,,,,,,,,2,,,8111,2,1,2
2,,,,,,,,,2,,,8112,3,1,3
2,,,,,,,,,2,,,8113,1,1,1
2,,,,,,,,,2,,,8114,1,1,1
2,,,,,,,,,2,,,8115,4,1,4
2,,,,,,,,,2,,,8116,1,1,1
2,,,,,,,,,2,,,8117,1,1,1
2,,,,,,,,,2,,,8118,1,1,1
2,,,,,,,,,2,,,8119,3,1,3
2,,,,,,,,,2,,,8120,3,1,3
2,,,,,,,,,2,,,8121,2,1,2
1,20,3,1,2,,,,,2,,,8123,1,1,1
1,17,3,1,1,2,2,,,1,20,2,8125,1,1,1
1,12,3,1,1,30,1,1,5,1,37,2,8126,1,1,1
2,,,,,,,,,2,,,8128,3,1,3
2,,,,,,,,,2,,,8129,5,1,5
2,,,,,,,,,2,,,8130,2,1,2
2,,,,,,,,,2,,,8131,2,1,2
2,,,,,,,,,2,,,8132,1,1,1
2,,,,,,,,,2,,,8133,2,1,2
2,,,,,,,,,2,,,8134,1,1,1
1,20,3,2,,,,,,2,,,8135,1,1,1
2,,,,,,,,,2,,,8136,6,1,6
1,17,3,2,,,,,,2,,,8137,7,1,7
1,20,3,2,,,,,,2,,,8139,1,1,1
2,,,,,,,,,2,,,8140,1,1,1
2,,,,,,,,,2,,,8141,1,1,1
1,14,3,2,,,,,,2,,,8142,1,1,1
2,,,,,,,,,2,,,8143,5,1,5
2,,,,,,,,,2,,,8144,3,1,3
2,,,,,,,,,2,,,8145,1,1,1
1,18,3,2,,,,,,2,,,8146,1,1,1
2,,,,,,,,,2,,,8147,1,1,1
1,17,3,1,2,,,,,2,,,8148,1,1,1
2,,,,,,,,,2,,,8149,5,1,5
1,15,3,2,,,,,,2,,,8150,1,1,1
1,18,3,2,,,,,,2,,,8151,3,1,3
2,,,,,,,,,2,,,8152,1,1,1
1,20,3,1,1,15,1,1,5,1,33,1,8153,1,1,1
2,,,,,,,,,2,,,8154,1,1,1
1,20,3,2,,,,,,2,,,8155,1,1,1
2,,,,,,,,,2,,,8156,1,1,1
2,,,,,,,,,2,,,8157,3,1,3
2,,,,,,,,,2,,,8158,4,1,4
1,15,3,2,,,,,,2,,,8159,1,1,1
2,,,,,,,,,2,,,8160,1,1,1
2,,,,,,,,,2,,,8161,2,1,2
2,,,,,,,,,2,,,8162,2,1,2
1,22,3,2,,,,,,2,,,8163,1,1,1
1,17,3,2,,,,,,2,,,8164,1,1,1
2,,,,,,,,,2,,,8165,2,1,2
2,,,,,,,,,2,,,8166,1,1,1
1,14,3,2,,,,,,2,,,8167,2,1,2
1,21,3,2,,,,,,2,,,8168,1,1,1
2,,,,,,,,,2,,,8169,2,1,2
2,,,,,,,,,2,,,8170,1,1,1
1,12,3,1,1,30,1,1,30,2,,,8171,1,1,1
1,14,3,2,,,,,,2,,,8172,1,1,1
2,,,,,,,,,2,,,8173,2,1,2
2,,,,,,,,,2,,,8175,1,1,1
2,,,,,,,,,2,,,8176,1,1,1
2,,,,,,,,,2,,,8177,2,1,2
2,,,,,,,,,2,,,8178,5,1,5
2,,,,,,,,,2,,,8179,2,1,2
2,,,,,,,,,2,,,8180,4,1,4
2,,,,,,,,,2,,,8181,1,1,1
2,,,,,,,,,2,,,8182,2,1,2
2,,,,,,,,,2,,,8183,2,1,2
1,17,3,1,1,20,1,2,,2,,,8184,1,1,1
1,32,3,1,1,20,2,,,2,,,8185,1,1,1
1,18,3,2,,,,,,2,,,8186,2,1,2
1,17,3,2,,,,,,2,,,8187,1,1,1
2,,,,,,,,,2,,,8188,3,1,3
1,17,3,2,,,,,,2,,,8189,1,1,1
2,,,,,,,,,2,,,8190,4,1,4
2,,,,,,,,,2,,,8191,1,1,1
1,20,3,2,,,,,,2,,,8192,1,1,1
2,,,,,,,,,2,,,8193,2,1,2
1,14,3,1,1,30,1,1,2,1,20,1,8194,1,1,1
2,,,,,,,,,2,,,8195,1,1,1
1,20,3,2,,,,,,2,,,8196,2,1,2
2,,,,,,,,,2,,,8197,2,1,2
2,,,,,,,,,2,,,8198,4,1,4
2,,,,,,,,,2,,,8199,2,1,2
1,16,3,2,,,,,,2,,,8200,1,1,1
1,18,3,1,1,5,1,2,,2,,,8201,1,1,1
2,,,,,,,,,2,,,8202,2,1,2
1,18,3,2,,,,,,2,,,8204,2,1,2
2,,,,,,,,,2,,,8205,1,1,1
2,,,,,,,,,2,,,8206,1,1,1
1,18,3,2,,,,,,2,,,8207,2,1,2
1,20,3,2,,,,,,2,,,8208,2,1,2
2,,,,,,,,,2,,,8209,1,1,1
2,,,,,,,,,2,,,8210,2,1,2
2,,,,,,,,,2,,,8211,1,1,1
2,,,,,,,,,2,,,8212,3,1,3
1,19,3,1,1,20,1,2,,1,28,1,8213,2,1,2
2,,,,,,,,,2,,,8214,2,1,2
1,18,3,1,1,6,1,2,,2,,,8215,1,1,1
2,,,,,,,,,2,,,8216,3,1,3
2,,,,,,,,,2,,,8218,1,1,1
1,17,3,1,1,30,1,1,5,1,42,2,8219,1,1,1
1,18,3,2,,,,,,2,,,8220,3,1,3
2,,,,,,,,,2,,,8221,2,1,2
2,,,,,,,,,2,,,8222,2,1,2
1,20,3,2,,,,,,2,,,8223,1,1,1
2,,,,,,,,,2,,,8224,2,1,2
1,16,3,2,,,,,,2,,,8225,2,1,2
1,15,3,2,,,,,,2,,,8226,3,1,3
1,13,3,2,,,,,,2,,,8227,1,1,1
2,,,,,,,,,2,,,8228,2,1,2
2,,,,,,,,,2,,,8229,4,1,4
2,,,,,,,,,2,,,8230,2,1,2
2,,,,,,,,,2,,,8231,1,1,1
2,,,,,,,,,2,,,8232,2,1,2
2,,,,,,,,,2,,,8234,2,1,2
1,17,3,1,1,4,1,2,,2,,,8235,1,1,1
2,,,,,,,,,2,,,8236,1,1,1
2,,,,,,,,,2,,,8238,1,1,1
1,17,3,2,,,,,,2,,,8239,1,1,1
2,,,,,,,,,2,,,8240,1,1,1
1,20,3,2,,,,,,2,,,8241,1,1,1
2,,,,,,,,,2,,,8242,1,1,1
1,27,3,2,,,,,,2,,,8243,2,1,2
2,,,,,,,,,2,,,8244,1,1,1
1,17,3,1,1,5,2,,,2,,,8245,1,1,1
2,,,,,,,,,2,,,8246,2,1,2
2,,,,,,,,,2,,,8247,4,1,4
1,23,3,2,,,,,,2,,,8248,1,1,1
2,,,,,,,,,2,,,8249,1,1,1
2,,,,,,,,,2,,,8250,1,1,1
2,,,,,,,,,2,,,8251,4,1,4
1,25,3,2,,,,,,2,,,8252,1,1,1
1,18,2,1,2,,,,,2,,,8253,1,1,1
1,25,3,2,,,,,,2,,,8254,2,1,2
2,,,,,,,,,2,,,8255,4,1,4
1,12,3,1,1,27,1,1,3,2,,,8256,2,1,2
2,,,,,,,,,2,,,8257,2,1,2
2,,,,,,,,,2,,,8258,1,1,1
2,,,,,,,,,2,,,8259,5,1,5
2,,,,,,,,,2,,,8260,2,1,2
1,15,3,2,,,,,,2,,,8261,2,1,2
1,15,3,1,1,15,1,2,,1,37,1,8262,1,1,1
2,,,,,,,,,2,,,8263,2,1,2
2,,,,,,,,,2,,,8265,1,1,1
1,17,3,2,,,,,,2,,,8266,1,1,1
2,,,,,,,,,2,,,8268,1,1,1
2,,,,,,,,,2,,,8269,1,1,1
2,,,,,,,,,2,,,8270,1,1,1
2,,,,,,,,,2,,,8271,2,1,2
2,,,,,,,,,2,,,8272,1,1,1
1,15,3,2,,,,,,2,,,8273,1,1,1
2,,,,,,,,,1,29,1,8274,1,1,1
2,,,,,,,,,2,,,8275,1,1,1
1,16,3,2,,,,,,2,,,8276,2,1,2
2,,,,,,,,,2,,,8278,2,1,2
2,,,,,,,,,2,,,8279,1,1,1
2,,,,,,,,,2,,,8280,1,1,1
2,,,,,,,,,2,,,8281,1,1,1
1,8,3,1,1,30,1,1,30,2,,,8282,1,1,1
2,,,,,,,,,2,,,8283,1,1,1
1,40,3,2,,,,,,2,,,8284,1,1,1
1,15,3,2,,,,,,2,,,8285,1,1,1
2,,,,,,,,,2,,,8286,1,1,1
2,,,,,,,,,2,,,8287,1,1,1
2,,,,,,,,,2,,,8289,1,1,1
2,,,,,,,,,2,,,8290,4,1,4
2,,,,,,,,,2,,,8291,1,1,1
2,,,,,,,,,2,,,8292,2,1,2
2,,,,,,,,,2,,,8293,2,1,2
2,,,,,,,,,2,,,8295,3,1,3
2,,,,,,,,,2,,,8296,1,1,1
2,,,,,,,,,2,,,8297,2,1,2
1,18,3,2,,,,,,1,17,2,8298,2,1,2
2,,,,,,,,,2,,,8299,2,1,2
2,,,,,,,,,2,,,8300,1,1,1
2,,,,,,,,,2,,,8301,2,1,2
1,21,3,1,1,20,1,2,,1,24,1,8302,1,1,1
1,30,3,2,,,,,,2,,,8303,2,1,2
1,18,3,2,,,,,,2,,,8304,1,1,1
1,11,3,1,1,30,1,1,10,2,,,8305,1,1,1
1,14,3,2,,,,,,1,14,2,8306,2,1,2
2,,,,,,,,,2,,,8307,1,1,1
2,,,,,,,,,2,,,8308,3,1,3
2,,,,,,,,,2,,,8310,1,1,1
2,,,,,,,,,2,,,8311,1,1,1
1,18,3,2,,,,,,1,20,2,8312,2,1,2
1,14,3,2,,,,,,2,,,8313,1,1,1
2,,,,,,,,,2,,,8314,1,1,1
2,,,,,,,,,2,,,8315,1,1,1
2,,,,,,,,,2,,,8316,2,1,2
2,,,,,,,,,2,,,8317,1,1,1
2,,,,,,,,,2,,,8318,3,1,3
2,,,,,,,,,2,,,8319,1,1,1
2,,,,,,,,,2,,,8320,3,1,3
2,,,,,,,,,2,,,8321,1,1,1
2,,,,,,,,,2,,,8322,3,1,3
2,,,,,,,,,2,,,8323,2,1,2
1,18,2,2,,,,,,2,,,8324,3,1,3
1,16,3,1,1,20,1,2,,2,,,8325,5,1,5
2,,,,,,,,,2,,,8326,3,1,3
2,,,,,,,,,2,,,8327,5,1,5
2,,,,,,,,,2,,,8328,2,1,2
2,,,,,,,,,2,,,8329,3,1,3
2,,,,,,,,,2,,,8330,5,1,5
1,14,3,2,,,,,,2,,,8331,2,1,2
2,,,,,,,,,2,,,8332,2,1,2
2,,,,,,,,,2,,,8333,2,1,2
2,,,,,,,,,2,,,8334,2,1,2
2,,,,,,,,,2,,,8335,2,1,2
2,,,,,,,,,2,,,8336,3,1,3
2,,,,,,,,,2,,,8337,4,1,4
2,,,,,,,,,2,,,8338,2,1,2
1,19,3,1,1,13,1,2,,2,,,8339,2,1,2
1,14,3,2,,,,,,2,,,8340,1,1,1
2,,,,,,,,,2,,,8341,2,1,2
2,,,,,,,,,2,,,8342,2,1,2
2,,,,,,,,,2,,,8343,2,1,2
1,16,3,1,2,,,,,2,,,8344,2,1,2
2,,,,,,,,,2,,,8345,1,1,1
2,,,,,,,,,2,,,8346,2,1,2
2,,,,,,,,,2,,,8347,2,1,2
2,,,,,,,,,2,,,8348,1,1,1
1,19,3,2,,,,,,2,,,8349,1,1,1
2,,,,,,,,,2,,,8350,1,1,1
2,,,,,,,,,2,,,8351,1,1,1
2,,,,,,,,,2,,,8352,1,1,1
2,,,,,,,,,2,,,8353,2,1,2
2,,,,,,,,,2,,,8355,1,1,1
2,,,,,,,,,2,,,8356,2,1,2
2,,,,,,,,,2,,,8357,2,1,2
1,15,3,2,,,,,,2,,,8358,3,1,3
2,,,,,,,,,2,,,8359,2,1,2
2,,,,,,,,,2,,,8360,1,1,1
2,,,,,,,,,2,,,8361,3,1,3
2,,,,,,,,,2,,,8362,2,1,2
2,,,,,,,,,2,,,8363,2,1,2
2,,,,,,,,,2,,,8364,1,1,1
2,,,,,,,,,2,,,8365,2,1,2
2,,,,,,,,,2,,,8366,2,1,2
2,,,,,,,,,2,,,8367,1,1,1
2,,,,,,,,,2,,,8368,1,1,1
2,,,,,,,,,2,,,8369,2,1,2
1,18,3,2,,,,,,2,,,8370,2,1,2
1,15,3,2,,,,,,1,24,2,8371,3,1,3
2,,,,,,,,,2,,,8372,2,1,2
1,16,3,9,,,,,,1,19,2,8373,1,1,1
2,,,,,,,,,2,,,8374,3,1,3
2,,,,,,,,,2,,,8375,2,1,2
1,19,3,2,,,,,,2,,,8376,1,1,1
1,20,3,2,,,,,,2,,,8377,1,1,1
2,,,,,,,,,2,,,8378,2,1,2
2,,,,,,,,,2,,,8379,3,1,3
1,19,3,2,,,,,,2,,,8380,2,1,2
2,,,,,,,,,2,,,8381,2,1,2
1,18,3,2,,,,,,2,,,8382,1,1,1
1,15,3,1,2,,,,,1,22,2,8383,2,1,2
2,,,,,,,,,2,,,8384,1,1,1
2,,,,,,,,,2,,,8386,2,1,2
1,23,3,2,,,,,,2,,,8387,1,1,1
2,,,,,,,,,2,,,8388,1,1,1
1,29,3,2,,,,,,2,,,8389,3,1,3
1,14,3,2,,,,,,1,16,2,8391,4,1,4
2,,,,,,,,,2,,,8393,1,1,1
1,18,3,2,,,,,,2,,,8394,2,1,2
1,13,3,2,,,,,,2,,,8395,3,1,3
2,,,,,,,,,2,,,8396,2,1,2
2,,,,,,,,,2,,,8397,1,1,1
2,,,,,,,,,2,,,8398,4,1,4
1,15,3,2,,,,,,2,,,8399,1,1,1
2,,,,,,,,,2,,,8401,2,1,2
1,21,3,1,1,3,2,,,2,,,8402,1,1,1
2,,,,,,,,,2,,,8403,1,1,1
1,16,3,1,2,,,,,2,,,8405,1,1,1
1,20,3,1,1,2,2,,,2,,,8406,1,1,1
2,,,,,,,,,2,,,8407,3,1,3
1,22,3,1,1,30,1,1,1,2,,,8408,2,1,2
2,,,,,,,,,2,,,8410,2,1,2
2,,,,,,,,,2,,,8411,5,1,5
2,,,,,,,,,2,,,8412,1,1,1
2,,,,,,,,,2,,,8413,1,1,1
2,,,,,,,,,2,,,8415,1,1,1
2,,,,,,,,,2,,,8416,5,1,5
1,18,3,2,,,,,,2,,,8418,1,1,1
2,,,,,,,,,2,,,8419,2,1,2
2,,,,,,,,,2,,,8420,1,1,1
2,,,,,,,,,2,,,8421,1,1,1
2,,,,,,,,,2,,,8422,2,1,2
1,20,3,2,,,,,,2,,,8423,1,1,1
1,14,3,2,,,,,,2,,,8426,2,1,2
2,,,,,,,,,2,,,8427,2,1,2
