E_01,E_02,E_03,E_04,E_05,E_06,E_07,E_08,E_09,E_10,E_11,E_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,,,,,,,,,2,,,142,1,1,1
1,15,3,2,,,,,,2,,,144,1,1,1
2,,,,,,,,,1,19,2,146,2,1,2
1,18,3,2,,,,,,2,,,147,1,1,1
2,,,,,,,,,2,,,148,1,1,1
2,,,,,,,,,2,,,149,1,1,1
1,18,3,1,1,4,1,2,,2,,,150,2,1,2
2,,,,,,,,,2,,,151,1,1,1
2,,,,,,,,,2,,,152,1,1,1
2,,,,,,,,,2,,,153,2,1,2
1,20,3,2,,,,,,2,,,154,1,1,1
2,,,,,,,,,2,,,155,3,1,3
2,,,,,,,,,2,,,156,1,1,1
2,,,,,,,,,2,,,157,2,1,2
2,,,,,,,,,2,,,158,1,1,1
2,,,,,,,,,2,,,159,2,1,2
1,15,3,1,1,5,1,2,,1,18,2,160,1,1,1
1,15,3,2,,,,,,2,,,161,1,1,1
2,,,,,,,,,2,,,162,1,1,1
1,20,3,2,,,,,,1,24,2,163,3,1,3
1,18,3,2,,,,,,2,,,164,1,1,1
2,,,,,,,,,2,,,165,3,1,3
2,,,,,,,,,2,,,166,1,1,1
1,18,3,2,,,,,,2,,,167,3,1,3
2,,,,,,,,,2,,,168,2,1,2
1,18,3,2,,,,,,2,,,170,1,1,1
1,19,3,2,,,,,,2,,,172,2,1,2
1,21,3,2,,,,,,2,,,173,1,1,1
2,,,,,,,,,2,,,174,1,1,1
1,24,3,2,,,,,,2,,,175,1,1,1
2,,,,,,,,,2,,,176,2,1,2
1,10,3,2,,,,,,2,,,177,1,1,1
2,,,,,,,,,2,,,178,2,1,2
2,,,,,,,,,2,,,179,2,1,2
1,23,3,2,,,,,,2,,,180,1,1,1
1,17,3,2,,,,,,2,,,181,1,1,1
2,,,,,,,,,2,,,182,1,1,1
2,,,,,,,,,2,,,183,2,1,2
2,,,,,,,,,2,,,184,4,1,4
2,,,,,,,,,2,,,185,2,1,2
1,30,3,2,,,,,,2,,,186,1,1,1
2,,,,,,,,,2,,,187,2,1,2
1,14,3,2,,,,,,2,,,188,2,1,2
1,15,3,2,,,,,,2,,,189,1,1,1
2,,,,,,,,,2,,,190,3,1,3
2,,,,,,,,,2,,,191,1,1,1
2,,,,,,,,,2,,,192,1,1,1
2,,,,,,,,,2,,,194,3,1,3
2,,,,,,,,,2,,,195,1,1,1
1,19,3,2,,,,,,2,,,196,1,1,1
2,,,,,,,,,2,,,197,1,1,1
2,,,,,,,,,2,,,198,2,1,2
2,,,,,,,,,2,,,199,3,1,3
2,,,,,,,,,2,,,201,1,1,1
2,,,,,,,,,2,,,202,1,1,1
2,,,,,,,,,2,,,204,2,1,2
2,,,,,,,,,2,,,205,2,1,2
2,,,,,,,,,2,,,206,2,1,2
2,,,,,,,,,2,,,207,3,1,3
1,16,3,1,1,2,2,,,1,40,2,209,2,1,2
2,,,,,,,,,2,,,210,3,1,3
1,18,3,2,,,,,,2,,,211,1,1,1
1,23,3,2,,,,,,2,,,212,2,1,2
1,30,3,2,,,,,,2,,,213,2,1,2
2,,,,,,,,,2,,,214,2,1,2
2,,,,,,,,,2,,,215,2,1,2
1,25,3,1,1,2,1,3,,2,,,216,1,1,1
2,,,,,,,,,2,,,217,3,1,3
2,,,,,,,,,2,,,218,2,1,2
2,,,,,,,,,2,,,219,1,1,1
1,11,3,2,,,,,,2,,,220,3,1,3
2,,,,,,,,,2,,,221,1,1,1
2,,,,,,,,,2,,,222,2,1,2
2,,,,,,,,,2,,,223,2,1,2
2,,,,,,,,,2,,,224,2,1,2
2,,,,,,,,,2,,,225,2,1,2
2,,,,,,,,,2,,,226,2,1,2
2,,,,,,,,,2,,,227,8,1,8
2,,,,,,,,,2,,,228,1,1,1
2,,,,,,,,,2,,,229,4,1,4
2,,,,,,,,,2,,,230,2,1,2
2,,,,,,,,,2,,,231,1,1,1
1,27,3,2,,,,,,2,,,232,2,1,2
1,30,3,2,,,,,,2,,,233,2,1,2
2,,,,,,,,,2,,,234,3,1,3
2,,,,,,,,,2,,,235,1,1,1
2,,,,,,,,,2,,,236,2,1,2
2,,,,,,,,,2,,,237,1,1,1
2,,,,,,,,,2,,,238,1,1,1
2,,,,,,,,,2,,,239,4,1,4
2,,,,,,,,,2,,,241,1,1,1
2,,,,,,,,,2,,,242,2,1,2
1,17,3,1,2,,,,,2,,,243,1,1,1
2,,,,,,,,,2,,,245,1,1,1
2,,,,,,,,,2,,,246,1,1,1
2,,,,,,,,,2,,,247,3,1,3
1,15,3,2,,,,,,2,,,249,1,1,1
2,,,,,,,,,2,,,250,1,1,1
1,21,3,2,,,,,,2,,,252,1,1,1
1,18,3,2,,,,,,2,,,253,2,1,2
1,15,3,2,,,,,,2,,,254,1,1,1
2,,,,,,,,,2,,,255,4,1,4
2,,,,,,,,,2,,,256,1,1,1
2,,,,,,,,,2,,,257,4,1,4
2,,,,,,,,,1,17,2,258,4,1,4
2,,,,,,,,,2,,,259,1,1,1
1,15,3,2,,,,,,2,,,260,1,1,1
2,,,,,,,,,2,,,262,1,1,1
2,,,,,,,,,2,,,263,1,1,1
2,,,,,,,,,2,,,264,1,1,1
1,19,3,2,,,,,,2,,,265,1,1,1
1,18,2,1,2,,,,,2,,,266,1,1,1
1,14,3,2,,,,,,2,,,267,1,1,1
2,,,,,,,,,2,,,268,2,1,2
2,,,,,,,,,2,,,269,2,1,2
1,16,3,1,1,30,1,1,3,2,,,270,1,1,1
2,,,,,,,,,2,,,271,2,1,2
2,,,,,,,,,2,,,272,4,1,4
2,,,,,,,,,2,,,273,2,1,2
2,,,,,,,,,2,,,274,1,1,1
1,17,3,2,,,,,,2,,,275,2,1,2
2,,,,,,,,,2,,,277,3,1,3
2,,,,,,,,,2,,,278,2,1,2
1,11,3,1,2,,,,,2,,,279,1,1,1
2,,,,,,,,,2,,,280,2,1,2
2,,,,,,,,,2,,,283,1,1,1
2,,,,,,,,,2,,,284,1,1,1
1,22,3,2,,,,,,2,,,286,1,1,1
1,21,3,2,,,,,,2,,,287,2,1,2
2,,,,,,,,,2,,,288,3,1,3
2,,,,,,,,,2,,,289,2,1,2
1,20,3,1,1,30,1,1,10,1,37,2,290,1,1,1
2,,,,,,,,,2,,,291,3,1,3
2,,,,,,,,,2,,,292,1,1,1
2,,,,,,,,,2,,,293,2,1,2
1,14,3,2,,,,,,1,15,2,295,2,1,2
1,15,3,2,,,,,,2,,,297,3,1,3
1,20,3,2,,,,,,2,,,298,1,1,1
2,,,,,,,,,2,,,299,1,1,1
1,16,3,2,,,,,,1,31,1,300,1,1,1
2,,,,,,,,,2,,,304,2,1,2
2,,,,,,,,,2,,,305,1,1,1
2,,,,,,,,,2,,,306,2,1,2
2,,,,,,,,,2,,,307,5,1,5
1,20,3,2,,,,,,2,,,308,1,1,1
2,,,,,,,,,2,,,309,1,1,1
2,,,,,,,,,2,,,310,1,1,1
2,,,,,,,,,2,,,311,1,1,1
2,,,,,,,,,2,,,313,2,1,2
2,,,,,,,,,2,,,315,3,1,3
2,,,,,,,,,2,,,316,1,1,1
2,,,,,,,,,2,,,317,6,1,6
1,14,3,1,1,20,1,2,,2,,,318,6,1,6
2,,,,,,,,,2,,,319,1,1,1
1,30,3,2,,,,,,2,,,320,1,1,1
2,,,,,,,,,2,,,321,2,1,2
2,,,,,,,,,2,,,322,3,1,3
2,,,,,,,,,2,,,323,3,1,3
2,,,,,,,,,2,,,325,1,1,1
2,,,,,,,,,2,,,327,2,1,2
2,,,,,,,,,2,,,328,1,1,1
2,,,,,,,,,2,,,329,2,1,2
2,,,,,,,,,2,,,330,1,1,1
2,,,,,,,,,2,,,331,3,1,3
2,,,,,,,,,2,,,332,1,1,1
1,16,2,1,2,,,,,2,,,333,3,1,3
1,14,3,2,,,,,,2,,,334,1,1,1
2,,,,,,,,,2,,,335,2,1,2
2,,,,,,,,,2,,,336,1,1,1
2,,,,,,,,,2,,,337,4,1,4
2,,,,,,,,,2,,,338,2,1,2
2,,,,,,,,,2,,,339,3,1,3
1,25,3,1,1,3,1,2,,1,29,1,340,2,1,2
2,,,,,,,,,2,,,343,3,1,3
2,,,,,,,,,2,,,344,2,1,2
2,,,,,,,,,2,,,345,1,1,1
2,,,,,,,,,2,,,346,1,1,1
2,,,,,,,,,2,,,347,2,1,2
2,,,,,,,,,2,,,348,3,1,3
1,16,3,2,,,,,,2,,,349,2,1,2
1,8,2,2,,,,,,2,,,350,2,1,2
2,,,,,,,,,2,,,351,1,1,1
1,20,3,2,,,,,,2,,,352,1,1,1
2,,,,,,,,,2,,,353,2,1,2
2,,,,,,,,,2,,,354,3,1,3
1,25,3,2,,,,,,2,,,356,1,1,1
1,18,3,2,,,,,,1,25,2,357,3,1,3
1,15,3,1,2,,,,,2,,,358,2,1,2
2,,,,,,,,,2,,,359,1,1,1
2,,,,,,,,,2,,,360,4,1,4
2,,,,,,,,,2,,,361,1,1,1
2,,,,,,,,,2,,,362,1,1,1
1,25,3,1,2,,,,,2,,,363,1,1,1
2,,,,,,,,,2,,,364,1,1,1
2,,,,,,,,,2,,,365,1,1,1
2,,,,,,,,,2,,,366,2,1,2
1,18,3,1,2,,,,,2,,,367,2,1,2
1,19,3,2,,,,,,1,17,2,368,2,1,2
2,,,,,,,,,2,,,369,2,1,2
2,,,,,,,,,2,,,370,2,1,2
