D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
9,2,1,5,511,1,1,156,1,1,1
9,3,2,8,805,1,2,157,2,1,2
5,6,0,5,511,1,1,158,1,1,1
9,6,0,3,300,,,159,2,1,2
9,6,0,7,703,1,1,160,1,1,1
9,3,1,7,704,1,2,161,1,1,1
9,4,5,5,510,1,2,162,1,1,1
9,6,0,7,705,1,1,163,3,1,3
9,2,2,5,511,1,1,164,1,1,1
5,6,0,5,510,,,165,3,1,3
9,6,0,7,706,1,2,166,1,1,1
9,6,2,6,602,1,1,167,3,1,3
9,3,0,8,801,1,2,168,2,1,2
9,6,0,8,803,1,1,170,1,1,1
9,2,1,6,602,1,2,172,2,1,2
9,3,2,8,801,1,1,173,1,1,1
9,6,3,4,404,1,2,174,1,1,1
9,3,2,4,400,1,1,175,1,1,1
5,6,1,7,702,1,2,176,2,1,2
1,2,3,5,510,1,2,177,1,1,1
1,3,3,5,510,1,2,178,2,1,2
9,3,6,7,705,1,1,179,2,1,2
1,3,1,6,600,1,2,180,1,1,1
9,2,3,6,600,1,1,181,1,1,1
5,6,0,7,705,1,1,182,1,1,1
9,3,2,4,406,1,2,183,2,1,2
9,6,0,5,510,,,184,4,1,4
9,3,1,7,705,1,2,185,2,1,2
5,3,3,3,300,1,2,186,1,1,1
9,5,2,6,602,1,2,187,2,1,2
9,2,4,6,600,1,2,188,2,1,2
9,2,3,3,300,1,2,189,1,1,1
9,6,0,6,601,1,2,190,3,1,3
9,6,0,4,409,1,1,191,1,1,1
9,2,1,5,511,1,1,192,1,1,1
9,6,0,3,305,,,194,3,1,3
9,2,6,4,407,1,1,195,1,1,1
9,2,0,8,802,1,2,196,1,1,1
9,6,0,8,802,1,1,197,1,1,1
9,2,0,7,707,1,1,198,2,1,2
9,6,0,4,400,,,199,3,1,3
5,4,2,4,404,1,2,201,1,1,1
1,1,4,3,305,1,2,202,1,1,1
9,3,3,6,602,1,2,204,2,1,2
9,3,2,5,511,1,2,205,2,1,2
9,3,2,6,602,1,2,206,2,1,2
9,6,0,4,406,,,207,3,1,3
1,2,1,5,510,1,1,209,2,1,2
9,5,2,5,511,1,2,210,3,1,3
9,3,6,3,305,1,1,211,1,1,1
5,3,2,5,513,1,2,212,2,1,2
5,3,4,6,602,1,2,213,2,1,2
9,2,2,5,511,1,2,214,2,1,2
9,3,2,3,305,1,2,215,2,1,2
9,6,0,5,511,1,1,216,1,1,1
9,6,0,6,601,1,2,217,3,1,3
5,3,0,5,510,1,2,218,2,1,2
9,5,1,7,705,1,2,219,1,1,1
9,6,0,4,408,1,1,220,3,1,3
9,3,2,7,705,1,2,221,1,1,1
9,3,3,7,707,1,2,222,2,1,2
9,3,2,8,802,1,2,223,2,1,2
9,6,2,4,406,1,2,224,2,1,2
9,3,6,5,512,1,2,225,2,1,2
9,6,0,7,700,1,2,226,2,1,2
9,6,0,7,703,1,2,227,8,1,8
9,6,5,5,511,1,2,228,1,1,1
9,6,0,4,409,1,2,229,4,1,4
9,3,4,6,602,1,2,230,2,1,2
5,6,1,7,705,1,1,231,1,1,1
9,3,3,4,409,1,2,232,2,1,2
9,3,3,5,511,1,2,233,2,1,2
9,5,1,6,600,1,2,234,3,1,3
9,6,0,8,801,1,2,235,1,1,1
9,3,4,4,409,1,2,236,2,1,2
1,2,2,7,705,1,1,237,1,1,1
9,6,0,7,702,1,1,238,1,1,1
9,6,0,5,511,1,1,239,4,1,4
1,6,2,5,511,1,1,241,1,1,1
9,3,1,7,705,1,2,242,2,1,2
9,2,3,5,510,1,1,243,1,1,1
9,1,1,4,409,1,2,245,1,1,1
9,1,3,4,409,1,1,246,1,1,1
5,5,2,7,705,1,2,247,3,1,3
9,6,1,6,602,1,1,249,1,1,1
9,2,2,3,305,1,1,250,1,1,1
9,6,0,6,602,1,1,252,1,1,1
9,3,3,7,702,1,2,253,2,1,2
9,3,1,3,305,1,1,254,1,1,1
9,6,0,3,304,,,255,4,1,4
5,6,3,4,407,1,1,256,1,1,1
9,1,0,4,407,1,2,257,4,1,4
9,6,0,4,409,1,1,258,4,1,4
9,3,1,7,704,1,1,259,1,1,1
