Depmuni,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,ESTADO_ENCUESTA,RECO_DIC
15001,2,1,4,2,154,1,1,1,,0
13001,2,1,2,3,155,1,1,1,,0
95001,2,1,9,3,156,1,1,1,,0
15759,2,1,3,2,157,1,1,1,,0
47001,1,1,3,1,158,1,1,1,,0
15759,2,1,3,4,159,1,1,1,,0
15001,2,1,3,1,160,1,1,1,,0
95001,1,1,1,2,161,1,1,1,,0
15759,1,1,2,1,162,1,1,1,,0
15001,1,1,3,5,163,1,1,1,,0
95001,1,1,1,2,164,1,1,1,,0
27001,1,1,1,3,165,1,1,1,,0
15001,2,1,4,1,166,1,1,1,,0
95001,2,1,9,6,167,1,1,1,,0
15759,2,1,2,2,168,1,1,1,,0
15001,2,1,3,1,170,1,1,1,,0
95001,2,1,1,3,172,1,1,1,,0
15001,2,1,3,4,173,1,1,1,,0
15759,2,1,2,3,174,1,1,1,,0
15759,2,1,2,2,175,1,1,1,,0
95001,2,1,1,3,176,1,1,1,,0
95001,1,1,1,5,177,1,1,1,,0
13001,2,1,2,2,178,1,1,1,,0
13001,2,1,2,4,179,1,1,1,,0
13001,2,1,2,3,180,1,1,1,,0
85001,1,1,2,3,181,1,1,1,,0
95001,2,1,2,2,182,1,1,1,,0
47001,1,1,3,5,183,1,1,1,,0
47189,1,1,3,6,184,1,1,1,,0
95001,2,1,2,3,185,1,1,1,,0
47189,1,1,1,4,186,1,1,1,,0
23162,1,1,2,4,187,1,1,1,,0
85001,1,1,2,4,188,1,1,1,,0
47189,1,1,1,2,189,1,1,1,,0
68547,2,1,2,7,190,1,1,1,,0
81001,1,1,2,1,191,1,1,1,,0
47001,2,1,3,4,192,1,1,1,,0
18001,1,1,3,3,194,1,1,1,,0
20001,1,1,2,8,195,1,1,1,,0
95001,2,1,2,1,196,1,1,1,,0
95001,1,1,2,2,197,1,1,1,,0
47189,1,1,3,2,198,1,1,1,,0
85001,1,1,2,3,199,1,1,1,,0
23162,1,1,2,2,201,1,1,1,,0
20001,1,1,2,4,202,1,1,1,,0
47001,2,1,3,5,204,1,1,1,,0
27001,1,1,1,4,205,1,1,1,,0
95001,1,1,1,4,206,1,1,1,,0
18001,1,1,4,3,207,1,1,1,,0
85001,1,1,2,3,209,1,1,1,,0
70001,1,1,3,5,210,1,1,1,,0
95001,2,1,1,2,211,1,1,1,,0
