J_01,J_02,J_03,J_04,J_05_A,J_05_B,J_05_C,J_05_D,J_05_E,J_05_F,J_06_A,J_06_B,J_06_C,J_06_D,J_06_E,J_06_F,J_06_G,J_06_H,J_06_I,J_07,J_08,J_09,J_10,J_11,J_12,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
,,,,,,,,,,,,,,,,,,,3,2,,,,,8553,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,8843,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,8862,2,1,2
3,2,,,,,,,,,,,,,,,,,,3,2,,,2,,8889,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,8917,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,8953,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,9102,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,2,,9159,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,9332,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,9461,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,2,,9480,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,9528,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,2,,9594,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,9623,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,9670,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,9671,1,1,1
,,,,,,,,,,,,,,,,,,,3,2,,,2,,9720,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,2,,9726,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,1,2,9824,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,9926,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,2,,10235,3,1,3
,,,,,,,,,,,,,,,,,,,9,9,,,9,,10312,2,1,2
2,2,,,,,,,,,,,,,,,,,,,,,,,,10315,1,1,1
,,,,,,,,,,,,,,,,,,,9,2,,,2,,10585,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,2,,10627,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,1,2,10689,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,11133,3,1,3
,,,,,,,,,,,,,,,,,,,,,,,2,,11220,2,1,2
,,,,,,,,,,,,,,,,,,,3,2,,,2,,11358,5,1,5
,,,,,,,,,,,,,,,,,,,,,,,2,,11391,1,1,1
