L_01,L_02,L_03,L_04,L_05,L_06,L_07,L_08,L_08_VALOR,L_08_TEXTO,L_09_A,L_09_B,L_09_C,L_09_D,L_09_E,L_09_F,L_09_G,L_09_H,L_09_I,L_10,L_10_A,L_10_B,L_11_A,L_11_B,L_11_C,L_11_D,L_11_E,L_11_F,L_11_G,L_11_H,L_11_I,L_11_J,L_11_K,L_11_L,L_11_M,L_11_N,L_11_O,DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN
2,1,1,2,,,12,2,,,,,1,,,,,,,2,,,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,13522,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13730,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13861,2,1,2
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13938,1,1,1
3,1,4,1,2,10000,01,1,10000,DIEZ MIL,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,14007,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14044,1,1,1
2,1,2,2,,,05,1,5000,CINCO MIL PESOS EL GRAMO,,,,1,1,,,,,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,14137,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14181,3,1,3
3,1,3,2,,,1,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14295,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14320,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14326,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14327,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14346,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14348,1,1,1
3,1,1,2,,,01,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14375,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14402,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14591,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14602,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14665,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14680,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14691,1,1,1
3,1,1,2,,,06,1,5000,CINCO MIL PESOS,,,,1,,,,,,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14740,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14800,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15021,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15037,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15069,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15087,1,1,1
3,1,4,1,6,40000,30,1,10000,DIEZ MIL PESOS COLOMBIANOS,,,1,1,1,1,,,,2,,,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,15101,1,1,1
3,1,5,2,,,04,1,5000,CINCO MIL PESOS MONEDA CORRIENTE,,,,1,1,,,,,2,,,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,15110,3,1,3
3,1,2,2,,,5,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,15155,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15215,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15216,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15228,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15249,1,1,1
3,1,4,1,4,98,4,1,8000,OCHO MIL PESOS,,,,1,,,,,,2,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,15318,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15341,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15362,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15388,2,1,2
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15424,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15439,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15525,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15560,4,1,4
3,1,2,1,1,20000,1,2,,,,,,,,,1,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15587,1,1,1
2,1,1,2,,,1,1,10000,DIEZ MIL PESOS,,,1,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15890,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16010,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16014,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16084,1,1,1
3,1,2,2,,,1,2,,,,,,1,,,,,,2,,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,16119,3,1,3
3,1,1,2,,,01,1,5000,CINCO MIL,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16206,4,1,4
3,1,3,2,,,02,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,16250,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16319,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16371,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16528,1,1,1
3,1,2,2,,,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,16534,6,1,6
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16536,3,1,3
3,1,1,2,,,3,1,6000,SEIS MIL,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16619,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16629,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16633,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16640,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16720,3,1,3
3,1,4,1,2,98,20,1,10000,DIEZ MIL PESOS COLOMBIANOS,,,,1,,,,,,2,,,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,16728,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16822,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17060,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17149,3,1,3
3,1,5,1,30,20000,01,1,5000,CINCO MIL PESOS,,,1,1,,,,,,2,,,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,17159,3,1,3
2,1,2,2,,,03,1,15000,QUINCE MIL,,,,,1,,,,,2,,,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,17176,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17197,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17235,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17240,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17252,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17255,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17349,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17382,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17649,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17653,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17756,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17849,2,1,2
3,1,3,1,1,10000,05,1,20000,VEINTE MIL,,,,1,,,,,,2,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17933,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17995,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18128,2,1,2
3,1,3,1,5,40000,03,1,4000,CUATRO MIL,,,,1,,,,,,2,,,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,18151,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18159,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18342,1,1,1
2,1,2,2,,,01,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,18381,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18511,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18668,1,1,1
3,1,2,2,,,05,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18791,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18828,1,1,1
3,1,2,1,10,7000,01,1,7000,SIETE MIL PESOS,,,,,,,,,1,2,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,18880,1,1,1
3,1,2,2,,,1,2,,,,,1,,,,,,,2,,,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,18905,2,1,2
3,1,3,1,10,45000,1,2,,,,,,1,,,,,,2,,,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,18928,3,1,3
3,1,2,1,3,15000,05,2,,,,,,1,,,,,,1,,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,18983,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19021,3,1,3
3,1,4,1,2,7000,02,2,,,,,,1,,,,,,2,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,19066,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19075,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19132,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19176,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19181,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19184,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19265,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19376,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19544,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19597,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19603,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19684,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19913,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19928,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20032,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20046,3,1,3
3,1,1,2,,,01,1,5000,CINCO MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,20072,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20090,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20102,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20328,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20368,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20465,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20547,3,1,3
1,1,4,1,12,120000,15,1,40000,CUARENTA MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,20630,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20638,1,1,1
3,1,2,1,7,100000,10,1,20000,VEINTE MIL PESOS,,,,1,,,,,,2,,,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,20689,2,1,2
3,1,3,1,1,20000,1,1,20000,VEINTE MIL,,,1,1,1,1,1,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20775,1,1,1
3,1,3,1,5,75000,30,1,4000,CUATRO MIL PESOS GRAMO,,,1,,1,,,,,1,,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,20812,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20858,1,1,1
3,1,5,1,28,150000,12,1,10000,DIEZ MIL,,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20948,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21242,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21299,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21451,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21668,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21681,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21715,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21788,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21805,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21992,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22028,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22108,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22131,6,1,6
3,1,3,2,,,4,1,8000,OCHO MIL PESOS,,,1,,,,,,,2,,,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,22164,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22221,3,1,3
2,1,4,1,20,100000,30,1,15000,QUINCE MIL PESOS,,,,,1,,,,,2,,,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,22308,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22403,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22456,2,1,2
3,1,4,1,2,10000,02,1,10000,DIEZ MIL,,,1,1,,,,,,2,,,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,22476,1,1,1
3,1,3,1,2,15000,02,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,22500,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22610,1,1,1
3,1,4,1,20,20000,2,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22671,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22756,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22758,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22822,1,1,1
3,1,2,1,1,10000,01,1,5000, CINCO MIL,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22932,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22980,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23052,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23088,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23125,2,1,2
3,1,2,2,,,01,1,5000,CINCO MIL PESOS,,,1,,,,,,,2,,,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,23128,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23229,1,1,1
3,1,2,2,,,05,2,,,,,,1,,,,,,2,,,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,23264,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23316,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23351,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23380,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23432,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23466,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23469,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23477,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23562,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23597,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23602,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23604,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23845,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23848,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23859,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23896,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23953,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24036,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24037,1,1,1
1,1,4,1,4,24000,02,1,8000,OCHO MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,24136,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24144,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24210,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24224,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24268,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24342,1,1,1
2,1,2,2,,,1,1,6000,SEIS MIL,,,1,,,,,,,2,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,24503,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24507,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24559,1,1,1
3,1,3,1,10,98,10,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,24594,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24632,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24752,1,1,1
3,1,2,2,,,1,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,25173,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25347,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25463,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25465,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25483,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25513,2,1,2
3,1,1,2,,,02,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25552,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25635,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25636,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25699,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25793,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25808,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25978,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26043,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26081,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26142,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26239,1,1,1
3,1,2,2,,,1,1,30000,TREINTA MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26250,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26251,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26498,1,1,1
3,1,1,2,,,1,2,,,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26707,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26713,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26720,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26793,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26816,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26840,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26871,1,1,1
3,1,1,2,,,3,1,10000,DIEZ MIL PESOS,,,,1,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26959,3,1,3
9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27077,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27155,5,1,5
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27351,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27565,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27716,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27872,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27876,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27893,1,1,1
3,1,1,2,,,01,1,6000,SEIS MIL PESOS,,,1,,,,,,,2,,,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,28017,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28160,1,1,1
3,1,2,2,,,2,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28161,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28242,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28254,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28303,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28321,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28370,2,1,2
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28538,1,1,1
9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28705,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28714,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28763,4,1,4
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28781,1,1,1
3,1,4,1,8,150000,30,1,10000,DIEZ MIL PESOS,,,1,,,,,,,2,,,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,28803,3,1,3
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28861,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28919,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29051,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29153,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29259,1,1,1
3,1,3,1,3,30000,03,1,10000,DIEZ MIL PESOS COLOMBIANO,,,,1,,,,,,2,,,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,29395,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29421,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29429,1,1,1
3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29452,1,1,1
